ENTRY,Name,MeSH,OMIM,ICD-10,ICD-11,MedlinePlus,Alias_Name,Pathway,Gene_symbol,kegg_geneID,Drug_name,kegg_drugID
H00410,Maturity onset diabetes of the young (MODY),C565101;C564219;C563933;C563451;C535520;C565231;C566466;C565225;C567393,606391;125850;138079;600496;606392;137920;606394;610508;609812;612225;613370;613375;616329;616511,E13,5A13.0,NA,NA,hsa04950  Maturity onset diabetes of the young,HNF4A;GCK;TCF1;PDX1;TCF2;NEUROD1;KLF11;CEL;PAX4;INS;BLK;KCNJ11;APPL1,3172;2645;6927;3651;6928;4760;8462;1056;5078;3630;640;3767;26060,NA,NA
H00417,Alstrom syndrome,D056769,203800,Q87.8,LD2Y,NA,NA,NA,ALMS1,7840,NA,NA
H00418,Bardet-Biedl syndrome,D020788,209900;617119;617406,Q87.8,LD2Y,NA,NA,NA,BBS1;BBS2;ARL6;BBS4;BBS5;MKKS;BBS7;TTC8;BBS9;BBS10;TRIM32;BBS12;MKS1;CEP290;WDPCP;SDCCAG8;LZTFL1;BBIP1;IFT27;IFT74;C8orf37,582;583;84100;585;129880;8195;55212;123016;27241;79738;22954;166379;54903;80184;51057;10806;54585;92482;11020;80173;157657,NA,NA
H00419,Congenital generalized lipodystrophy,D052497,269700;608594;612526;613327,E88.1,5A44,NA,NA,NA,AGPAT2;BSCL2;CAV1;PTRF,10555;26580;857;284119,NA,NA
H00420,Familial partial lipodystrophy,D052496,608600;151660;604367;613877;615238;615980;608709,E88.1,5A44,NA,NA,NA,LMNA;PPARG;PLIN1;CIDEC;LIPE;LMNB2;AKT2,4000;5468;5346;63924;3991;84823;208,NA,NA
H00421,Mucopolysaccharidosis,NA,607015;607016;309900;252900;252920;252930;252940;253000;253010;253200;253220;601492,E76.0;E76.1;E76.2,5C56.3,NA,NA,NA,IDUA;IDS;SGSH;NAGLU;HGSNAT;GNS;GALNS;GLB1;ARSB;GUSB;HYAL1,3425;3423;6448;4669;138050;2799;2588;2720;411;2990;3373,NA,NA
H00422,Glycoproteinoses,NA,256550;256540;248500;248510;208400;230000;609241;609242,E77.1,5C56.2,NA,NA,NA,NEU1;CTSA;GLB1;MAN2B1;MANBA;AGA;FUCA1;NAGA,4758;5476;2720;4125;4126;175;2517;4668,NA,NA
H00423,Sphingolipidosis,NA,250100;249900;245200;272200,E75.2,5C56.0,NA,NA,NA,GLA;GLB1;GBA;ARSA;GALC;SMPD1;ASAH1;PSAP;SUMF1,2717;2720;2629;410;2581;6609;427;5660;285362,NA,NA
H00424,Defects in the degradation of sphingomyelin,NA,257200;607616;228000,E75.2,5C56.0Y,NA,NA,NA,SMPD1;ASAH1,6609;427,NA,NA
H00425,Lysosomal cysteine protease deficiencies,NA,245000;265800,Q82.8,5C56.Y,NA,NA,NA,CTSC;CTSK,1075;1513,NA,NA
H00426,Gangliosidosis,NA,230500;230600;230650;268800;272800;272750,E75.1,5C56.00,NA,NA,NA,GLB1;HEXA;HEXB;GM2A,2720;3073;3074;2760,NA,NA
H00428,Distal renal tubular acidosis (RTA type 1),D000141,179800;267300;602722,N25.8,GB90.44,NA,NA,NA,SCL4A1;ATP6V1B1;ATP6V0A4,6521;525;50617,Sodium bicarbonate,D01203
H00429,Proximal renal tubular acidosis (RTA type 2),D000141,604278,N25.8,GB90.44,NA,NA,NA,SLC4A4,8671,Sodium bicarbonate,D01203
H00430,Fibrodysplasia ossificans progressiva,D009221,135100,M61.1,FB31.1,NA,NA,NA,ACVR1,90,NA,NA
H00431,Ossification of the posterior longitudinal ligament of spine,D017887,602475,M48.8,FA83,NA,NA,NA,COL11A2;NPPS;COL6A1;TGFB3,1302;5167;1291;7043,NA,NA
H00432,Hereditary dentine disorders,NA,125490;125500;125420,K00.5,LA30.Y,NA,NA,NA,DSPP,1834,NA,NA
H00433,Holt-Oram syndrome,C535326,142900,Q87.2,LD2F.1Y,NA,NA,NA,TBX5,6910,NA,NA
H00434,Camurati-Engelmann disease,D003966,131300,Q78.3,LD24.1Y,NA,Progressive diaphyseal dysplasia,NA,TGFB1,7040,NA,NA
H00436,Osteopetrosis,D010022,607634;166600;259700;259710;259730;611490;259720;611497;612301;615085,Q78.2,LD24.10,NA,NA,NA,LRP5;CLCN7;TCIRG1;RANKL;CA2;OSTM1;PLEKHM1;RANK;SNX10,4041;1186;10312;8600;760;28962;9842;8792;29887,Interferon gamma-1b,D00747
H00437,Paget disease of bone,D010001,167250;602080;239000;616833,M88,FB85,NA,NA,NA,TNFRSF11A;SQSTM1;TNFRSF11B;ZNF687,8792;8878;4982;57592,Calcitonin salmon;Etidronate disodium;Pamidronate disodium;Alendronate sodium;Risedronate sodium;Sodium risedronate hydrate;Risedronate sodium monohydrate;Zoledronic acid,D00249;D00314;D00941;D00939;D00942;D03234;D11570;D01968
H00438,Nasu-Hakola disease,C536329,221770;618193,E75.2,8A44.3,NA,Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy,NA,DAP12;TREM2,7305;54209,NA,NA
H00439,Shwachman-Diamond syndrome,C537330,260400;617941,D61.0,3A70.0,NA,NA,NA,SBDS;EFL1,51119;79631,Sulfadiazine,D00587
H00440,Rett syndrome,D015518,312750;613454,F84.2,LD90.4,NA,NA,NA,MECP2;FOXG1B,4204;2290,NA,NA
H00441,Progressive osseous heteroplasia,C562735,166350,M61.5,FB31.0,NA,NA,NA,GNAS,2778,NA,NA
H00442,Campomelic dysplasia,D055036,114290,Q87.1,LD2A.Y,NA,NA,NA,SOX9,6662,NA,NA
H00443,Osteoglophonic dysplasia,C536050,166250,Q87.1,LD24.2Y,NA,Osteoglophonic dwarfism,NA,FGFR1,2260,NA,NA
H00444,Osteopathia striata with cranial sclerosis,C536053,300373,Q78.8,LD24.1Y,NA,NA,NA,FAM123B,139285,NA,NA
H00445,Osteoarthritis with mild chondrodysplasia,C565740,604864,Q77.7,LD24.3,NA,NA,NA,COL2A1,1280,NA,NA
H00446,Craniofacial-deafness-hand syndrome,C536453,122880,Q87.0,LD2H.Y,NA,NA,NA,PAX3,5077,NA,NA
H00447,HEM skeletal dysplasia,C535858,215140,Q78.8,LD24.04,NA,Greenberg dysplasia,NA,LBR,3930,NA,NA
H00448,Familial osteochondritis dissecans,D010008,165800,M93.2,FB82.1,NA,"Osteochondritis dissecans, short stature, and early-onset osteoarthritis",NA,ACAN,176,NA,NA
H00449,Oculodentodigital dysplasia,C563160,164200;257850,Q87.8,LD27.0Y,NA,NA,NA,GJA1,2697,NA,NA
H00450,Worth type autosomal dominant osteosclerosis,C536748,144750,Q78.2,LD24.1Y,NA,Endosteal hyperostosis,NA,LRP5,4041,NA,NA
H00451,Osteoporosis-pseudoglioma syndrome,C536063,259770,Q87.5,LD24.KY,NA,NA,NA,LRP5,4041,NA,NA
H00452,Buschke-Ollendorff syndrome,D010023,166700,Q78.8,LD24.11,NA,Osteopoikilosis,NA,LEMD3,23592,NA,NA
H00453,Branchio-oto-renal syndrome,D019280,113650;602588;610896;608389,Q87,LD2F.1Y,NA,BOR syndrome,NA,EYA1;SIX5;SIX1,2138;147912;6495,NA,NA
H00454,Oral-facial-digital syndrome,D009958,311200;258860;174300;277170;615948;617127;617563;617926;617927,Q87.0,LD25.00,NA,NA,NA,OFD1;TCTN3;DDX59;CPLANE1;C2CD3;MNR;TMEM107;INTU;IFT57,8481;26123;83479;65250;26005;9851;84314;27152;55081,NA,NA
H00455,Spinal muscular atrophy,D009134,253300;253550;253400;271150;313200;301830;300489;182980;158600;615290,G12.0;G12.1,8B61,NA,NA,hsa05022  Pathways of neurodegeneration - multiple diseases,SMN1;SMN2;AR;UBE1;ATP7A;VAPB;DYNC1H1;BICD2,6606;6607;367;7317;538;9217;1778;23299,Nusinersen sodium;Onasemnogene abeparvovec;Risdiplam,D10791;D11559;D11406
H00456,Fronto-otopalatodigital syndromes,C538064;C536065;C538089,311300;304120;309350;305620,Q77.8;Q78.5,LD25.1,NA,NA,NA,FLNA,2316,NA,NA
H00457,Primary hypertrophic osteoarthropathy,D010004,259100;614441,M89.4,FB86.10,NA,NA,NA,HPGD;SLCO2A1,3248;6578,NA,NA
H00458,Syndromic craniosynostoses,D000168;D003398;D054882,101600;101200;123500;123150;123790;602849;612247;101400;207410;201750;201000;304110;609942;218600;123150;207410,Q87,LD24.G,NA,NA,NA,FGFR1;FGFR2;FGFR3;TWIST1;POR;RAB23;EFNB1;KRAS;RECQL4,2260;2263;2261;7291;5447;51715;1947;3845;9401,NA,NA
H00459,Synpolydactyly,C538153;C564278,186000;608180,Q70.0;Q70.2,LB79.Y,NA,NA,NA,HOXD13;FBLN1,3239;2192,NA,NA
H00460,Hand-foot-genital syndrome,C535627,140000,Q51.5,LD2F.1Y,NA,NA,NA,HOXA13,3209,NA,NA
H00461,Ischiocoxopodopatellar syndrome,C535540,147891,Q74.1,LD24.JY,NA,Coxopodopatellar syndrome;Small patella syndrome;Scott-Taor syndrome,NA,TBX4,9496,NA,NA
H00462,Stuve-Wiedemann syndrome,C537502,601559,Q78.8,LD24.C,NA,NA,NA,LIFR,3977,NA,NA
H00463,Currarino syndrome,C536221,176450,Q42,LD2F.1Y,NA,NA,NA,HLXB9,3110,NA,NA
H00464,Nail-patella syndrome,D009261,161200,Q87.2,LD24.J0,NA,NA,NA,LMX1B,4010,NA,NA
H00465,Fragile X syndrome,D005600,300624,Q99.2,LD55,NA,NA,NA,FMR1,2332,NA,NA
H00466,Grebe dysplasia,C537915;C535658,200700;201250,Q77.8,LD24.9,NA,Acromesomelic dysplasia Hunter-Thompson type,NA,GDF5,8200,NA,NA
H00467,Fibular hypoplasia and complex brachydactyly,C537931,228900,Q73.8,LD26,NA,Du Pan syndrome,NA,GDF5,8200,NA,NA
H00468,"Acromesomelic dysplasia, Demirhan type",C537913,609441,Q78.8,LD24.9,NA,Acromesomelic dysplasia with genital anomalies,NA,BMPR1B,658,NA,NA
H00469,Mitochondrial DNA depletion syndrome,D017237,603041;609560;251880;203700;613662;612073;256810;271245;612075;245400;221350;615084;615418;615471;616896;617156;618528;618567;618811;618972,E88.8,5C53.20,NA,NA,NA,TYMP;TK2;DGUOK;POLG;SUCLA2;MPV17;PEO1;RRM2B;SUCLG1;AGK;MGME1;SLC25A4;FBXL4;OPA1;TFAM;POLG2;MRM2;SLC25A21;SLC25A10,1890;7084;1716;5428;8803;4358;56652;50484;8802;55750;92667;291;26235;4976;7019;11232;29960;89874;1468,NA,NA
H00470,"Acromesomelic dysplasia, Maroteaux type",C535661,602875,Q77.8,LD24.9,NA,NA,NA,NPR2,4882,NA,NA
H00471,Split-hand/foot malformation,C567893;C564056;C565437;C565344;C564674;C567616,183600;605289;225300;220600;616890,Q71.6;Q72.7,LB99.8;LB9A.6,NA,NA,NA,TP63;WNT10B;DLX5;MAP3K20,8626;7480;1749;51776,NA,NA
H00472,Torg syndrome,C536051,259600,Q85.9,FB86.2,NA,"Torg-Winchester syndrome;Multicentric osteolysis, nodulosis, and arthropathy",NA,MMP2,4313,NA,NA
H00473,Mitochondrial complex I deficiency,C537475,252010;618222;618224;618225;618226;618228;618229;618230;618232;618233;301020;618234;618235;618236;618237;618238;618239;618240;618241;611126;618242;618243;618244;618245;618246;618247;618248;618249;618250;301021;618251;618252;618253;618776;619003,E88.8,5C53.2Y,NA,NA,NA,NDUFS4;NDUFS8;NDUFS7;NDUFV1;NDUFS1;NDUFS2;NDUFV2;NDUFS3;NDUFS6;NDUFAF2;NDUFAF1;NDUFA1;NDUFA2;NDUFA11;NDUFAF4;NDUFAF5;NDUFAF6;NDUFAF3;FOXRED1;ACAD9;NUBPL;NDUFA10;NDUFA12;NDUFB9;NDUFB3;NDUFA9;MTFMT;NDUFA13;TMEM126B;NDUFB11;TIMMDC1;NDUFB8;NDUFA6;NDUFAF8;NDUFB10;MT-ND1;MT-ND2;MT-ND3;MT-ND4;MT-ND4L;MT-ND5;MT-ND6,4724;4728;374291;4723;4719;4720;4729;4722;4726;91942;51103;4694;4695;126328;29078;79133;137682;25915;55572;28976;80224;4705;55967;4715;4709;4704;123263;51079;55863;54539;51300;4714;4700;284184;4716;4535;4536;4537;4538;4539;4540;4541,NA,NA
H00474,Schneckenbecken dysplasia,C536637,269250,Q77.7,LD24.3,NA,NA,NA,SLC35D1,23169,NA,NA
H00475,Enlarged parietal foramina/cranium bifidum,C566826,168500;609597;168550,Q75.8,LB70.Y,NA,NA,NA,MSX2;ALX4,4488;60529,NA,NA
H00476,Multiple epiphyseal dysplasia,C535501;C535502;C535503;C535504;C535505,132400;600204;600969;226900;607078;614135;132450,Q77.3,LD24.61,NA,NA,NA,COMP;COL9A2;COL9A3;DTDST;MATN3;COL9A1;COL2A1,1311;1298;1299;1836;4148;1297;1280,NA,NA
H00477,Pseudoachondroplasia,C535819,177170,Q77.8,LD24.60,NA,NA,NA,COMP,1311,NA,NA
H00478,Prader-Willi syndrome,D011218,176270,Q87.1,LD90.3,NA,NA,NA,NDN;SNRPN,4692;6638,NA,NA
H00479,Metaphyseal dysplasias,C536252,156500;250250;156400;260400;265900;602111;613073,Q78.5;Q78.8,LD24.7,NA,NA,NA,COL10A1;RMRP;PTHR1;SFRP4;MMP13;MMP9,1300;6023;5745;6424;4322;4318,NA,NA
H00480,X-linked mental retardation,C564490,309530;309541;309549;300957;300844;300143;300419;300558;300849;300436;300114;300210;300978;300387;300271;300850;300577;300659;300802;300803;300912;300919;300923;300982;300983;300984;300997;301013;301024,F78.9,6A00,NA,NA,NA,IQSEC2;HCFC1;FTSJ1;THOC2;RPS6KA3;IL1RAPL1;ARX;PAK3;GDI1;ARHGEF6;CLCN4;TSPAN7;RLIM;ACSL4;RAB39B;DLG3;ZDHHC15;BRWD3;SYP;ZNF711;NEXMIF;USP9X;KIF4A;MID2;DDX3X;KLHL15;FRMPD4;USP27X;OGT;CXorf56;SLC9A7,23096;3054;24140;57187;6197;11141;170302;5063;2664;9459;1183;7102;51132;2182;116442;1741;158866;254065;6855;7552;340533;8239;24137;11043;1654;80311;9758;389856;8473;63932;84679,NA,NA
H00481,Cone-rod dystrophy and cone dystrophy,D000071700,120970;604116;600977;601777;603649;612775;610283;610381;612657;608194;602093;613660;614500;615374;615860;615973;616502;304020;300476;613093;610024;180020;610356;610478,H35.5,9B70,NA,NA,NA,CRX;ABCA4;PITPNM3;GUCY2D;RIMS1;ADAM9;SEMA4A;RAX2;PROM1;RPGRIP1;GUCA1A;CDHR1;C8orf37;RAB28;TTLL5;POC1B;DRAM2;RPGR;CACNA1F;PDE6C;PDE6H;KCNV2;CACNA2D4,1406;24;83394;3000;22999;8754;64218;84839;8842;57096;2978;92211;157657;9364;23093;282809;128338;6103;778;5146;5149;169522;93589,NA,NA
H00482,Brachydactyly,D059327,112500;112600;112700;113000;611377;113200;113300;613382;112410;615072,Q73.8,LB75,NA,NA,NA,IHH;GDF5;BMPR1B;BMP2;ROR2;NOG;HOXD13;PTHLH;PDE3A,3549;8200;658;650;4920;9241;3239;5744;5139,NA,NA
H00483,Angel shaped phalangoepiphyseal dysplasia,C536361,105835,Q78.8,LD24.3,NA,NA,NA,GDF5,8200,NA,NA
H00484,Multiple synostosis syndrome,C536943;C537380;C567839,186500;610017;612961;617898,Q78.8,LB90.Y,NA,NA,NA,NOG;GDF5;FGF9;GDF6,9241;8200;2254;392255,NA,NA
H00485,Robinow syndrome,C562492;C535863,268310;180700;616331;616894,Q87.1,LD24.A,NA,NA,NA,ROR2;WNT5A;DVL1;DVL3,4920;7474;1855;1857,NA,NA
H00486,Sclerosteosis,C537525,269500;614305,Q78.8,LD24.1Y,NA,NA,NA,SOST;LRP4,50964;4038,NA,NA
H00487,Tricho-dento-osseous syndrome,C536549,190320,Q82.4,LD27.0Y,NA,NA,NA,DLX3,1747,NA,NA
H00488,MCAD deficiency,C536038,201450,E71.3,5C52.01,NA,Medium-chain acyl-CoA dehydrogenase deficiency;ACADM deficiency,NA,ACADM,34,NA,NA
H00489,LCHAD deficiency,C566945,609016,E71.3,5C52.01,NA,Long-chain 3-hydroxyacyl CoA dehydrogenase deficiency,NA,HADHA,3030,NA,NA
H00490,Diaphyseal dysplasia with anemia,C565551,231095,NA,LD24.1Y,NA,Ghosal hematodiaphyseal dysplasia,NA,TBXAS1,6916,NA,NA
H00491,Craniometaphyseal dysplasia,C537519,123000,Q78.8,LD24.1Y,NA,NA,NA,ANKH,56172,NA,NA
H00492,SHOX-related short stature,C564479;C537267;C537119,300582;249700;127300,Q87.1,LD24.A,NA,NA,NA,SHOX,6473,NA,NA
H00493,Heparan sulfate proteoglycan gene defects,C537998;C537340;C537746;D005097,224410;255800;312870;258315;133700;133701,Q87.1;G71.1;Q87.8;Q78.6,LD24.20;LD2Z,NA,NA,NA,HSPG2;GPC3;GPC6;EXT1;EXT2,3339;2719;10082;2131;2132,NA,NA
H00494,Desbuquois syndrome,C535943,251450;615777,Q78.8,LD24.E,NA,Desbuquois dysplasia (DBQD),NA,CANT1;XYLT1,124583;64131,NA,NA
H00495,Eiken dysplasia,C564010,600002,NA,LD24.6,NA,NA,NA,PTHR1,5745,NA,NA
H00496,Congenital hemidysplasia with ichthyosiform nevus and limb defects (CHILD),C562515,308050,Q87.8,LD24.04,NA,NA,NA,NSDHL,50814,NA,NA
H00497,Cherubism,D002636,118400,K10.8,LD24.22,NA,NA,NA,SH3BP2,6452,NA,NA
H00498,Gnathodiaphyseal dysplasia,C536039,166260,NA,LD24.2Y,NA,NA,NA,GDD1/TMEM16E,203859,NA,NA
H00499,Spondylocarpotarsal synostosis syndrome,C535780,272460,Q76.4,LD24.3,NA,NA,NA,FLNB,2317,NA,NA
H00500,Keutel syndrome,C536167,245150,Q87.8,LD2F.1Y,NA,NA,NA,MGP,4256,NA,NA
H00501,"Fibrous dysplasia, polyostotic",D005359,174800,Q78.1,FB80.0,NA,Albright hereditary osteodystrophy,NA,GNAS,2778,NA,NA
H00502,Pallister-Hall syndrome,D054975,146510,D33.0,LD2F.1Y,NA,NA,NA,GLI3,2737,NA,NA
H00503,Ellis-van Creveld syndrome,D004613,225500,Q77.6,LD27.0Y,NA,NA,NA,EVC1;EVC2,2121;132884,NA,NA
H00504,Rubinstein-Taybi syndrome,D012415,180849;613684,Q87.2,LD2F.1Y,NA,NA,NA,CREBBP;EP300,1387;2033,NA,NA
H00505,FGFR3-related short limb skeletal dysplasia,D000130;D013796,100800;146000;187600;187601;616482,Q77.4,LD24.0,NA,NA,NA,FGFR3,2261,NA,NA
H00506,Osteogenesis imperfecta,D010013,166200;166210;259420;166220;610967;613982;610682;610915;259440;613848;610968;613849;614856;615066;615220;616229;616507;617952;301014;618644,Q78.0,LD24.K0,NA,NA,NA,COL1A1;COL1A2;IFITM5;SERPINF1;CRTAP;LEPRE1;PPIB;SERPINH1;FKBP10;SP7;BMP1;TMEM38B;WNT1;CREB3L1;SPARC;TENT5A;MBTPS2;MESD,1277;1278;387733;5176;10491;64175;5479;871;60681;121340;649;55151;7471;90993;6678;55603;51360;23184,NA,NA
H00507,Dyskeratosis congenita,D019871,305000;127550;613989;613990;615190;616553;224230;613987;613988;616353,Q82.8,3A70.0,NA,NA,NA,DKC1;TERC;TERT;TINF2;RTEL1;ACD;NOP10;NHP2;WRAP53;PARN,1736;7012;7015;26277;51750;65057;55505;55651;55135;5073,NA,NA
H00508,Blomstrand syndrome,C537914,215045,Q78.8,LD24.1Y,NA,Blomstrand chondrodysplasia,NA,PTHR1,5745,NA,NA
H00509,3M syndrome,C535314,273750;612921;614205,Q87.1,LD24.D,NA,NA,NA,CUL7;OBSL1;CCDC8,9820;23363;83987,NA,NA
H00510,Feingold syndrome,C537734,164280;614326,Q87.8,LD2F.1Y,NA,NA,NA,MYCN;MIR17HG,4613;407975,NA,NA
H00511,Short rib-polydactyly syndrome,D012779,613091;263520;614091;615503,Q77.2,LD24.B0,NA,NA,NA,DYNC2H1;NEK1;WDR35;WDR60,79659;4750;57539;55112,NA,NA
H00512,Permanent neonatal diabetes mellitus,C563424;C563425;C563796,606176;609069;610199,P70.2,KB60.2Y,NA,NA,NA,KCNJ11;ABCC8;GCK;INS;IPF1;PTF1A;FOXP3;EIF2AK3;GLIS3,3767;6833;2645;3630;3651;256297;50943;9451;169792,NA,NA
H00513,Transient neonatal diabetes mellitus,C563322;C563672;C566432,601410;610374;610582,P70.2,KB60.20,NA,NA,NA,ZFP57;PLAGL1;HYMAI;ABCC8;KCNJ11,346171;5325;57061;6833;3767,NA,NA
H00514,Bruck syndrome,C537406;C537407,609220,Q78.0,LD24.KY,NA,NA,NA,PLOD2;FKBP10,5352;60681,NA,NA
H00515,Atelosteogenesis type II,C535395,256050,Q77.5,LD24.03,NA,NA,NA,DTDST,1836,NA,NA
H00516,Cleft lip and/or cleft palate,D002972,119530;608874;608864;225060;129400;613705;600625;616788,Q37,LA40;LA41;LA42,NA,NA,NA,MSX1;IRF6;NECTIN1;TP63;SUMO1;BMP4;DLX4,4487;3664;5818;8626;7341;652;1748,NA,NA
H00517,Spondylocostal dysostosis,C537565,277300;608681;609813;613686;122600;616566,Q76.8,LD24.H,NA,NA,NA,DLL3;MESP2;LNFG;HES7;TBX6;RIPPLY2,10683;145873;3955;84667;6911;134701,NA,NA
H00518,Metaphyseal dysplasia without hypotrichosis,C563574,250460,Q78.8,LD24.7,NA,NA,NA,RMRP,6023,NA,NA
H00519,Spondyloepiphyseal dysplasia congenita,D010009,183900;616583,Q77.7,LD24.3,NA,NA,NA,COL2A1,1280,NA,NA
H00520,Type II collagenopathies,NA,200610;150600;604864;156550;609162;183900;616583,Q77.0,LD24,NA,NA,NA,COL2A1,1280,NA,NA
H00521,Cleidocranial dysplasia,D002973,119600,Q74.0,LD24.2Y,NA,NA,NA,RUNX2,860,NA,NA
H00522,Brachyolmia,C537098,271530;113500;612847,Q76.3,LD24.5Y,NA,NA,NA,TRPV4;PAPSS2,59341;9060,NA,NA
H00523,Noonan syndrome and related disorders,D009634;D044542;D056685,163950;151100;115150;218040;601321;607721;613563,Q87.1,LD2F.1Y,NA,NA,NA,PTPN11;KRAS;SOS1;RAF1;NRAS;BRAF;RIT1;SOS2;LZTR1;MAP2K1;MAP2K2;HRAS;NF1;SHOC2;PPP1CB;CBL,5781;3845;6654;369;4893;673;6016;6655;8216;5604;5605;3265;4763;8036;5500;867,NA,NA
H00524,Scapuloperoneal spinal muscular atrophy,NA,181405,G12.1,8B61.4,NA,NA,NA,TRPV4,59341,NA,NA
H00525,Disorders of mitochondrial fatty-acid oxidation,D008052,201450;201470;610006;201475;609016;609015;608836;600649;255110;255120;212138;212140;231530;616034;611126;616277,E71.3,5C52.01,NA,NA,NA,ACADM;ACADS;ACADVL;HADHA;HADHB;CPT1A;CPT2;SLC25A20;SLC22A5;HADH;NADK2;ACAD9;ECHS1,34;35;37;3030;3032;1374;1376;788;6584;3033;133686;28976;1892,NA,NA
H00526,Camptodactyly-arthropathy-coxa vara-pericarditis syndrome,C537560,208250,NA,NA,NA,Jacobs syndrome,NA,PRG4,10216,NA,NA
H00527,Retinitis pigmentosa,D012174,268000;180100;312600;300029;300455;613731;608133;180104;180105;600138;600105;600059;600132;600852;601414;601718;613794;300424;602772;608380;613750;606068;607921;609923;610359;610282;610599;611131;613862;613809;613801;612095;612943;613810;613769;613767;612572;613758;613827;613756;613194;613464;613428;613575;613581;613582;613617;613861;613983;614180;614181;614500;615565;615725;615780;615922;616394;616469;616544;616562;617023;617123;617304;617433;617460;617781;617871;615434;618173;618220;618345;618613;618697;618826;618955;607475;619007,H35.5,9B70,NA,NA,NA,RP1;RP2;RPGR;RHO;PRPH2;ROM1;RP9;IMPDH1;PRPF31;CRB1;PRPF8;TULP1;CA4;PRPF3;ABCA4;RPE65;OFD1;EYS;CERKL;NRL;FAM161A;FSCN2;TOPORS;SNRNP200;SEMA4A;PRCD;NR2E3;MERTK;USH2A;PDE6B;PROM1;KLHL7;PDE6A;RGR;CNGB1;IDH3B;SAG;GUCA1B;CNGA1;BEST1;C2orf71;ARL6;IMPG2;PDE6G;ZNF513;DHDDS;PRPF6;CLRN1;MAK;C8orf37;RBP3;NEK2;SLC7A14;KIZ;PRPF4;IFT172;ZNF408;HGSNAT;BBS2;AGBL5;POMGNT1;REEP6;ARHGEF18;HK1;IFT140;IFT43;ARL2BP;ARL3;DHX38;AHR;RP86;RP1L1;KIF3B;IDH3A;RLBP1,6101;6102;6103;6010;5961;6094;6100;3614;26121;23418;10594;7287;762;9129;24;6121;8481;346007;375298;4901;84140;25794;10210;23020;64218;768206;10002;10461;7399;5158;8842;55975;5145;5995;1258;3420;6295;2979;1259;7439;388939;84100;50939;5148;130557;79947;24148;7401;4117;157657;5949;4751;57709;55857;9128;26160;79797;138050;583;60509;55624;92840;23370;3098;9742;112752;23568;403;9785;196;57670;94137;9371;3419;6017,Voretigene neparvovec,D11008
H00528,Frontonasal dysplasia,C538065,136760;613451;613456,Q75.8,LD25.3,NA,NA,NA,ALX3;ALX4;ALX1,257;60529;8092,NA,NA
H00529,Cranioectodermal dysplasia,C562966,218330;613610;614099;614378,Q87.5,LD27.0Y,NA,NA,NA,IFT122;WDR35;IFT43;WDR19,55764;57539;112752;57728,NA,NA
H00530,Joubert syndrome,C536293;C536294;C536295;C536296;C537688;C537689;C566916;C567358;C567364;C567582,213300;608091;608629;609583;610188;610688;611560;612291;612285;300804;613820;200990;614173;614424;614464;614465;614615;614815;614844;614970;615636;615665;616490;616654;616781;616784;617120;617121;617562;617622;617761;617757;617767;614175;618161;618763;619185,Q04.3,LD20.00,NA,NA,NA,INPP5E;TMEM216;AHI1;NPHP1;CEP290;TMEM67;RPGRIP1L;ARL13B;CC2D2A;OFD1;TTC21B;KIF7;TECT1;TMEM237;CEP41;TMEM138;C5orf42;TCTN3;ZNF423;TMEM231;CSPP1;PDE6D;JBTS23;TCTN2;CEP104;JBTS26;B9D1;MKS1;TMEM107;ARMC9;CEP120;SUFU;PIBF1;B9D2;ARL3;FAM149B1;TOGARAM1,56623;51259;54806;4867;80184;91147;23322;200894;57545;8481;79809;374654;79600;65062;95681;51524;65250;26123;23090;79583;79848;5147;9786;79867;9731;23247;27077;54903;84314;80210;153241;51684;10464;80776;403;317662;23116,NA,NA
H00531,Venous malformations,C563977;C536827,600195;138000,Q27.3,LA90.2,NA,NA,NA,TIE2;;GLMN,7010;NA;11146,NA,NA
H00532,Parkes Weber syndrome,D013341,608355,Q87.2,LD26.60,NA,NA,NA,RASA1,5921,NA,NA
H00533,Hereditary hemorrhagic telangiectasia,D013683,187300;600376;615506;175050,I78.0,LA90.00,NA,Osler disease,NA,ENG;ACVRL1;GDF2;SMAD4,2022;94;2658;4089,NA,NA
H00534,Cerebral cavernous malformation,D020786,116860;603284;603285,Q28.3,8B22.41,NA,NA,NA,KRIT1;MGC4607;PDCD10,889;83605;11235,NA,NA
H00535,Lymphatic malformation,D008209,153100;613480;615907;616843;617300;618773,Q82.0,BD93.0,NA,NA,NA,FLT4;GJC2;VEGFC;PIEZO1;EPHB4;CALCRL,2324;57165;7424;9780;2050;10203,NA,NA
H00536,Cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy (CADASIL),NA,125310,F01.1;I67.3,8B22.C0,NA,NA,NA,NOTCH3,4854,NA,NA
