	ENTRY	KEGG_disease_name	KEGG_synosyms	ICD-10	header	float	ICD_mid_class	KMN_candidate_IDs	KMN_candidate_Names	KMN_ICD10
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN91	Diffuse Large-Cell Lymphoma	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN92	Diffuse Large B-cell Lymphoma	C83.3
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN93	alpha Heavy Chain Disease	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN94	gamma Heavy Chain Disease	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN96	Sezary Syndrome	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN98	Plasma-cell Leukaemia	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN100	Mantle-cell Lymphoma	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN101	mu Heavy Chain Disease	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN103	Waldenstrom's Macroglobulinemia	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN104	Acute Lymphoid Leukemia	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN106	Minimally Differentiated Leukemia	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN107	Myeloblastic Leukemia without Maturation	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN108	Myeloblastic Leukemia with Maturation	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN109	Hypergranular Promyelocytic Leukemia	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN110	Myelomonocytic Leukemia	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN111	Myelomonocytic Leukemia Variant: Increase in Abnormal Marrow Eosinophils	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN112	Erythroleukemia	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN113	Megakaryoblastic leukemia	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN115	Nodular Lymphocyte-Predominant Hodgkin's Lymphoma	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN116	Primary Effusion Lymphoma	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN117	Classical Hodgkin's Lymphoma	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN118	Adult T Cell Lymphoma/Leukemia	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN119	Primary Testicular Lymphoma	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN120	Precursor B Cell Acute Lymphoid Leukemia	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN121	Precursor T cell Lymphoblastic Lymphoma	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN123	Monocytic Leukemia	C93
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN124	Cutaneous T cell Lymphoma	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN127	Chronic Myelogenous Leukemia	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN128	Anaplastic Large T-cell Lymphoma	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN129	Immunoblastic lymphoma	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN130	Immunoproliferative Small Intestinal Disease	C88.3
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN86	B-cell Lymphoma	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN87	B-cell Chronic Lymphocytic Leukaemia	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN88	MALT Lymphoma	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN89	POEMS Syndrome	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN90	T-cell Acute Lymphoid Leukemia	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN91	Diffuse Large-Cell Lymphoma	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN92	Diffuse Large B-cell Lymphoma	C83.3
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN93	alpha Heavy Chain Disease	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN94	gamma Heavy Chain Disease	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN96	Sezary Syndrome	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN98	Plasma-cell Leukaemia	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN100	Mantle-cell Lymphoma	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN101	mu Heavy Chain Disease	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN103	Waldenstrom's Macroglobulinemia	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN104	Acute Lymphoid Leukemia	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN106	Minimally Differentiated Leukemia	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN107	Myeloblastic Leukemia without Maturation	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN108	Myeloblastic Leukemia with Maturation	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN109	Hypergranular Promyelocytic Leukemia	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN110	Myelomonocytic Leukemia	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN111	Myelomonocytic Leukemia Variant: Increase in Abnormal Marrow Eosinophils	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN112	Erythroleukemia	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN113	Megakaryoblastic leukemia	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN115	Nodular Lymphocyte-Predominant Hodgkin's Lymphoma	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN116	Primary Effusion Lymphoma	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN117	Classical Hodgkin's Lymphoma	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN118	Adult T Cell Lymphoma/Leukemia	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN119	Primary Testicular Lymphoma	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN120	Precursor B Cell Acute Lymphoid Leukemia	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN121	Precursor T cell Lymphoblastic Lymphoma	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN123	Monocytic Leukemia	C93
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN124	Cutaneous T cell Lymphoma	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN127	Chronic Myelogenous Leukemia	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN128	Anaplastic Large T-cell Lymphoma	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN129	Immunoblastic lymphoma	NO_DATA
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN130	Immunoproliferative Small Intestinal Disease	C88.3
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN86	B-cell Lymphoma	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN87	B-cell Chronic Lymphocytic Leukaemia	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN88	MALT Lymphoma	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN89	POEMS Syndrome	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN90	T-cell Acute Lymphoid Leukemia	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN91	Diffuse Large-Cell Lymphoma	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN92	Diffuse Large B-cell Lymphoma	C83.3
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN93	alpha Heavy Chain Disease	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN94	gamma Heavy Chain Disease	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN96	Sezary Syndrome	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN98	Plasma-cell Leukaemia	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN100	Mantle-cell Lymphoma	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN101	mu Heavy Chain Disease	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN103	Waldenstrom's Macroglobulinemia	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN104	Acute Lymphoid Leukemia	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN106	Minimally Differentiated Leukemia	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN107	Myeloblastic Leukemia without Maturation	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN108	Myeloblastic Leukemia with Maturation	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN109	Hypergranular Promyelocytic Leukemia	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN110	Myelomonocytic Leukemia	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN111	Myelomonocytic Leukemia Variant: Increase in Abnormal Marrow Eosinophils	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN112	Erythroleukemia	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN113	Megakaryoblastic leukemia	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN115	Nodular Lymphocyte-Predominant Hodgkin's Lymphoma	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN116	Primary Effusion Lymphoma	NO_DATA
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN117	Classical Hodgkin's Lymphoma	NO_DATA
