ENTRY	Name	MeSH	OMIM	ICD-10	ICD-11	MedlinePlus	Alias_Name	Pathway	Gene_symbol	UniProtID	Drug_name	kegg_drugID	DrugBank	CAS	ChEBI	UniProt_count	Symbol_count	DrugBank_count
H00238	Fanconi anemia	NO_DATA	227650;300514;227645;605724;227646;600901;603467;614082;609053;609054;614083;609644;610832;613390;613951;615272;617244;617883;616435;617247;617243;617784	D61.0	3A70.0	NO_DATA	NO_DATA	NO_DATA	PALB2;FANCF;BRIP1;BRCA2;FANCG;PHF9;FANCD2;FANCB;FANCL;FANCI;RFWD3;FANCE;FANCM;ERCC4;SLX4;MAD2L2;XRCC2;UBE2T;FANCC;RAD51;FANCA;BRCA1;RAD51C;XRCC9	Q9BX63;Q9UI95;A0A024R9N2;A3KME0;A0A024R9A9;Q00597;Q9NW38;Q86YC2;A0A024RBW1;Q06609;Q8NB91;P51587;P38398;Q9NPI8;O43543;O43502;Q9NVI1;O15360;Q53XM5;O15287;Q9HB96;Q92889;A0A024R4I4;Q8IY92;Q6PCD5;A0A1W1GSK9;A0A384MEK2;Q9BXW9;Q9NPD8;Q8IYD8	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	30.0	24.0	0.0
H00239	Bartter syndrome	D001477	601678;241200;607364;602522;613090;300971;601198	E26.8	GB90.43	NO_DATA	NO_DATA	NO_DATA	MAGED2;CLCNKA,CLCNKB;BSND;SLC12A1;CASR;KCNJ1;CLCNKB;CLCNKA	A8K8H0;Q5VU50;P48048;Q9UNF1;A0A024R9Y7;Q8WZ55;Q8IUN5;P51801;P51800;A8K432;P41180;Q13621	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	12.0	8.0	0.0
H00240	Gitelman syndrome	D053579	263800	E26.8	5C64.41	NO_DATA	NO_DATA	NO_DATA	SLC12A3	P55017	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H00241	Combined proximal and distal renal tubular acidosis	D000141	259730	N25.8	GB90.44	NO_DATA	NO_DATA	NO_DATA	CA2	V9HW21;P00918	Sodium bicarbonate	D01203	DB01390	144-55-8	32139	2.0	1.0	1.0
H00242	Liddle syndrome	NO_DATA	177200;618114;618126	I15.2	BA04	NO_DATA	NO_DATA	NO_DATA	SCNN1A;SCNN1B;SCNN1G	P51168;B2R812;A5X2V1;P51170;P37088	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	5.0	3.0	0.0
H00243	Hyperkalemic distal renal tubular acidosis (RTA type 4)	D011546	264350;177735;145260;614491;614492;614495;614496	N25.8	GB90.44	NO_DATA	NO_DATA	NO_DATA	CUL3;SCNN1G;WNK4;KLHL3;NR3C2;SCNN1B;WNK1;SCNN1A	Q96J92;A0A024R475;P08235;P51168;Q9UH77;B0ZBF6;B2R812;A5D8Z4;A5X2V1;Q9H4A3;P51170;P37088;Q13618	Sodium bicarbonate	D01203	DB01390	144-55-8	32139	13.0	8.0	1.0
H00244	Pseudohypoparathyroidism	D011547	103580;603233;612462;612463	E20.1	5A50.1	NO_DATA	NO_DATA	NO_DATA	GNASAS1;GNAS;STX16	Q5JWF2;O95467;A0A0S2Z3H8;O14662;P63092	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	5.0	3.0	0.0
H00245	Calcium sensing receptor (CASR) related disease	C537145;C563375;C562783	145980;239200;146200;601198	E83.5	5C64.5	NO_DATA	NO_DATA	NO_DATA	PTH;CASR	P01270;P41180	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	2.0	0.0
H00246	Primary hyperparathyroidism	D049950	145000;145001;239200;617343	E21.0	5A51.0	NO_DATA	Familial hyperparathyroidism	NO_DATA	CDC73;MEN1;CASR;GCM2	A0A024R5D2;O00255;P41180;O75603;Q6P1J9	Cinacalcet hydrochloride	D03505	DB01012	364782-34-3	48391	5.0	4.0	1.0
H00247	Multiple endocrine neoplasia syndrome	D009377	131100;162300;171400;610755	D44.8	2F7A.0	NO_DATA	Wermer syndrome;Sipple syndrome	NO_DATA	MEN1;CDKN1B;RET	A0A024R5D2;P46527;Q6I9V6;O00255;P07949;A0A024R7T2	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	6.0	3.0	0.0
H00249	Thyroid hormone resistance syndrome	D018382;C564154	188570;274300;145650	E07.8	5A00.01	NO_DATA	NO_DATA	NO_DATA	THRB	A0A024R2I8;P10828	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	1.0	0.0
H00250	Congenital nongoitrous hypothyroidism (CHNG)	D003409	275200;218700;275100;225250;614450;618573;301033;301035	E03.1	5A00.01	NO_DATA	NO_DATA	NO_DATA	THRA;TSHR;NKX2-5;IRS4;TBL1X;PAX8;TRHR;NKX25;TSHB	P52952;O14654;A0A0A0MTJ0;A0A024RBV9;P01222;P10827;P16473;P34981;Q06710;R9W7C9;O60907;A0A0S2Z383	Levothyroxine sodium	D01010	DB00451	25416-65-3	6447	12.0	9.0	1.0
H00251	Thyroid dyshormonogenesis	C564766;C563206;C536648;C562769;C562770;C562771;C564608	274400;274500;274600;274800;274900;607200;188450	E07.1	5A00.00	NO_DATA	Dyshormogenetic goiter	NO_DATA	SLC26A4;TG;DUOX2;SLC5A5;TPO;DUOXA2;IYD;FOXI1	Q6PHW0;Q92911;P07202;P01266;Q12951;E0XEN6;Q502Y3;Q1HG44;Q6P534;Q9NRD8;O43511	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	11.0	8.0	0.0
H00252	Congenital nephrogenic diabetes insipidus	D018500	304800;125800	N25.1	GB90.4A	NO_DATA	NO_DATA	NO_DATA	AVPR2;AQP2	P30518;P41181	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	2.0	2.0	0.0
H00253	Neurohypophyseal diabetes insipidus (NPDI)	D020790	125700	E23.2	5A61.5	NO_DATA	Central Diabetes Insipidus	NO_DATA	AVP	X5DQP6;P01185	Desmopressin acetate	D02235	DB00035	62357-86-2	59728	2.0	1.0	1.0
H00254	Growth hormone deficiency	D004393	262400;613038;262500;312000;262650;615925	E23.0	5A61.0;5A61.3	NO_DATA	Pituitary dwarfism	NO_DATA	OTX2;BTK;LHX3;POU1F1;GH1;GHRHR;HESX1;GHR;GHSR;LHX4;PROP1;SOX3	A1LQR0;Q9UBX0;A0A090N8Y6;Q02643;P28069;A0A0S2Z5S4;F1T0D5;P10912;B1A4G6;A0A0G2JQ02;P32243;Q9UBR4;Q06187;F1T0D1;Q92847;Q969G2;Q5JY90;P41225;P01241;O75360	Somatropin;Somapacitan	D02691;D11194	DB00052	12629-01-5;1338578-34-9	NA;NA	20.0	12.0	1.0
H00255	Hypogonadotropic hypogonadism	D007006;D017436;C537919	308700;147950;244200;610628;612370;612702;146110;614837;614838;614839;614840;614841;614842;228300;614858;614880;614897;615266;615267;615269;615270;615271;616030	E23.0	5A61.2	NO_DATA	NO_DATA	NO_DATA	KISS1R;FLRT3;SPRY4;IL17RD;DUSP6;FGF17;SEMA3A;PROK2;KAL1;KISS1;GNRH1;FGF8;TACR3;HS6ST1;CHD7;LHB;NSMF;ANOS1;TAC3;GNRHR;PROKR2;FEZF1;WDR11;FGFR1	P11362;Q9NZU0;A0A024RBC1;A0PJY2;P01229;P29371;Q9P2D1;P23352;Q6X4W1;Q9BZH6;Q6ZWF9;Q14563;O60243;P55075;Q9UHF0;A0A024RB47;Q9HC23;Q8NFJ6;A1A515;Q969F8;Q8NFM7;A0A0F7RQE6;Q9C004;B4DXM5;P30968;P01148;Q16828;Q15726;O60258;A8K1T0	Fluoxymesterone;Methyltestosterone;Testosterone;Testosterone cypionate;Testosterone enanthate;Testosterone undecanoate	D00327;D00408;D00075;D00957;D00958;D06087	DB01185;DB00624;DB00624;DB00624;DB00624	76-43-7;58-18-4;58-22-0;58-20-8;315-37-7;5949-44-0	5120;27436;17347;9463;9464;NA	30.0	24.0	5.0
H00256	Familial glucocorticoid deficiency	C565974;C564577	202200;607398;609197;614736;617825	E27	5A74.Y	NO_DATA	NO_DATA	NO_DATA	TXNRD2;NNT;MC2R;MRAP	Q8TCY5;Q13423;Q9NNW7;A0A024R0C3;Q01718	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	5.0	4.0	0.0
H00257	Achalasia Addisonianism Alacrima syndrome	C536008	231550;615510	E27.4	5A74.Y	NO_DATA	Triple A syndrome;Allogrove syndrome	NO_DATA	;GMPPA;AAAS	Q96IJ6;Q9NRG9;A0A384MDS7	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	3.0	3.0	0.0
H00258	Aldosterone synthase deficiency	NO_DATA	203400;610600	E27.4;I15.2	5A73	NO_DATA	Corticosterone methyloxidase type I deficiency;Corticosterone methyloxidase type II deficiency	NO_DATA	CYP11B2	P19099	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H00259	Apparent mineralocorticoid excess syndrome	D043204	218030	E26.1	5A72.1	NO_DATA	11-beta-ketoreductase deficiency	NO_DATA	HSD11B2	P80365	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
H00260	Pigmented micronodular adrenocortical disease	C566469;C566472	610489;610475;603390	E27.5	5A70.Y	NO_DATA	NO_DATA	hsa04934  Cushing syndrome	CREB3;PRKACA;TCF7L2;AGT;CREB3L1;POMC;CREB3L4;CREB3L3;WNT2B;FZD8;PDE11A;NR4A1;RBBP5;PRKACG;SCARB1;CACNA1D;AIP;LDLR;PRKAR1A;GNAI2;ITPR1;CYP11B1;WNT6;HSD3B1;TCF7L1;KMT2D;CREB5;CDKN2B;CACNA1I;WNT8A;TCF7;WNT5B;ADCY4;ASH2L;WNT7A;CACNA1H;DVL2;WNT3;CCNE1;WNT1;FZD3;CDKN1A;LEF1;GSK3B;KCNA4;WNT10A;USP8;GNAS;FZD5;WNT3A;FZD7;ARNT;ITPR3;GNAQ;MEN1;FZD6;PBX1;MAP2K2;GNAI3;FZD10;CAMK2B;FZD2;CRHR1;CCND1;WNT9A;CACNA1F;KCNK2;WNT10B;EGFR;PLCB2;CYP17A1;E2F1;PLCB4;STAR;CDK6;FH;NCEH1;CDKN2C;ATF6B;PDE8B;AXIN1;AIPL1;WNT16;ADCY3;ADCY1;ATF4;APC2;DVL3;SP1;CYP11A1;ADCY8;ORAI1;WNT11;AGTR1;RAP1B;WNT5A;CTNNB1;RASD1;CDK2;BRAF;CACNA1S;PLCB3;WNT8B;HSD3B2;WNT4;GNA11;APC;FZD9;WNT7B;ARMC5;MRAP;CDKN1B;NR5A1;ITPR2;CREB3L2;FZD4;KCNK3;WNT9B;MC2R;DVL1;WNT2;ADCY9;WDR5B;CREB1;CRH;MAPK1;CRHR2;FZD1;ADCY7;PRKACB;ATF2;E2F3;CAMK2G;MAPK3;ADCY5;CAMK2D;CACNA1G;PDE8A;WDR5;RB1;AHR;ADCY2;CCNE2;CYP21A2;CDK4;GNAI1;CDKN2A;CAMK2A;MAP2K1;KMT2A;ADCY6;AXIN2;E2F2;PLCB1;RAP1A;CACNA1C	A0A024R2Q3;P26439;Q6FI27;O14641;Q8TCY5;P04899;Q9Y272;Q13324;F1D8R8;P56705;P17612;O00255;Q4LE70;A8KAH9;O95996;O75084;Q8N2E5;B2RB89;P24941;B3KQH9;P34998;A0A024RCX5;Q9ULW2;Q9H1J5;Q14573;Q9H461;Q9UBV4;P42771;Q13936;Q7LDD5;Q13467;A0A024RDV3;Q13557;P22612;Q59F77;P08754;P35869;P49841;P08686;Q71UM8;P36402;P42773;A0A024RB77;Q9NQ66;A0A384MDX3;P11802;Q96C12;P05093;Q6FI00;D9ZGG3;Q9UP38;Q9NQB0;Q6I9V6;Q00534;O60658;Q8TEY5;P56704;Q4F7X0;P51828;A6H8K3;P62834;Q8TDD0;P49675;Q15291;Q6IBK0;P35222;Q14643;Q13554;P22736;Q16874;A0A024R7D5;P27361;P63092;Q8WTV0;Q1HB44;P46527;A0A090N7T4;A0A024R5S4;P08047;A0A0S2Z4R0;Q08828;B3KQ75;A0A024R9B5;P14060;P15336;O60266;Q9Y6F9;A0A024R7J0;Q9Y2T1;Q96BA8;Q9UBL3;Q5V9X9;Q8IWE0;Q659G9;Q53YY0;P22694;G9I2H4;O14905;O00744;Q59GU3;Q01970;Q14332;A0A0S2Z4C3;P36507;P04628;A0A384NKY7;P28482;Q93097;Q6PIU2;B3KP24;A0A024R240;Q9UQM7;Q68D60;L7RXH5;Q96D31;P07954;A4QPA9;Q9GZT5;Q01668;A0A0K0K1K3;A0A024R126;P61224;P40818;P05108;A0A024R9E9;A8K161;O43889;A1MJ41;P15056;P41221;P40145;Q13555;Q9NPG1;A0A024R5D2;P09544;K7PML8;Q9HCS4;Q13285;Q15147;F1T0B6;O00170;P40424;P29992;O00755;Q59FG6;B2RA75;Q02750;O95180;Q70SY1;O43306;O95622;Q02930;A0A024R0F9;Q93098;P42772;A0A0S2Z478;P15538;A0A2K8FR47;Q504U8;O60503;Q00722;B2R5T5;P38936;A4D2J9;Q499G7;Q8NFM4;Q9HCR9;P01189;P63096;A0A024RBB6;Q6AZW6;Q6NSL8;O96020;P01130;P10644;O95467;K7PPU3;O95069;B3KQX9;O96014;Q9H1J7;P16220;A0A384P5Q5;Q9P0X4;Q9ULV1;O00144;A0A0S2Z3R3;Q9BSD8;Q08462;Q53X93;Q9NZN9;P22459;Q86UZ8;O43497;Q13698;O60353;Q03164;Q01094;O95263;P61964;Q01718;B7Z2C7;Q68CJ9;Q86VZ2;A0A024RBT3;Q59ES2;O14686;O60840;Q6ICV4;A0A024RBS4;P06850;Q08AG9;P00533;P25054;P18848;A0A024R9B0;P30556;Q6ZW95;Q92997;Q99941;P56706;P06400;O15169;O14904;Q6PIA1;P56703;P27540;A0A0S2Z3H8;Q1HBJ4;A8K5V0;P24385;P24864;Q86YI0;Q14571;O14649;Q14209;O00716;B3KN77;A0A384N611;O14640;F2YGG7;Q59GD8;A0A024RB87;A0A024R9Z8;P50148;Q9UJU2	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	246.0	156.0	0.0
H00261	Meckel syndrome	C536133;C536131;C536132	249000;603194;607361;611134;611561;612284;267010;613885;614209;614175;615397;616258;617562	Q61.9	LD2F.13	NO_DATA	Meckel-Gruber syndrome	NO_DATA	;NPHP3;B9D2;TMEM107;TCTN2;CEP290;B9D1;TMEM231;KIF14;TMEM216;CC2D2A;MKS1;TMEM67;RPGRIP1L	Q96GX1;Q68CZ1;Q9UPM9;Q6UX40;Q15058;Q9P2K1;Q9NXB0;B4DEW0;Q5HYA8;Q9BPU9;Q7Z494;O15078;Q9H6L2;Q9P0N5;Q05BJ6	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	15.0	14.0	0.0
H00262	Spina bifida	D016135;D008591	182940;601634	Q05	LA02	NO_DATA	Myelomeningocele;Myeloschisis	NO_DATA	VANGL2;FUZ;MTHFR;MTHFD1;MTRR;VANGL1;CCL2;TBXT;MTR	A0A384N5Y3;P13500;Q8TAA9;Q59GJ6;A0A024R0E3;Q9UBK8;Q8IU67;Q9ULK5;P42898;P11586;Q99707;Q9BT04	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	12.0	9.0	0.0
H00263	Acrocallosal syndrome	D055673	200990	Q04.0	LA05.3	NO_DATA	NO_DATA	NO_DATA	KIF7	Q2M1P5	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	1.0	1.0	0.0
