	Keymolnet_disease	ICD10	KEGG_ENTRY	KEGG_Name
KMN311	ACTH Deficiency	E23.6	H01011	Adrenocorticotropic hormone deficiency
KMN444	ALA-Dehydratase-Deficient Porphyria	E80.2	H00202	Hepatic porphyria
KMN573	Abetalipoproteinemia	NO_DATA	H00160	Abetalipoproteinemia
KMN874	Achondrodysplasia	NO_DATA	NO_DATA	NO_DATA
KMN561	Acrodermatitis Enteropathica	NO_DATA	H00212	Acrodermatitis enteropathica
KMN340	Acromegaly	NO_DATA	H01483	Acromegaly
KMN518	Activation-Induced Cytidine Deaminase Deficiency	D80.5	NO_DATA	NO_DATA
KMN580	Acute Bacterial Meningitis	G00.9	NO_DATA	NO_DATA
KMN640	Acute Inflammatory Demyelinating Polyneuropathy	NO_DATA	NO_DATA	NO_DATA
KMN529	Acute Intermittent Porphyria	E80.2	H00202	Hepatic porphyria
KMN104	Acute Lymphoid Leukemia	C91.0	H00001;H00002	B-cell acute lymphoblastic leukemia;T-cell acute lymphoblastic leukemia
KMN639	Acute Motor Axonal Neuropathy	NO_DATA	NO_DATA	NO_DATA
KMN105	Acute Myeloid Leukemia	NO_DATA	H00003	Acute myeloid leukemia
KMN773	Acute Pancreatitis	NO_DATA	H01681	Acute pancreatitis
KMN737	Acute Pericarditis	I30	NO_DATA	NO_DATA
KMN638	Acute Pharyngeal Cervicobrachial Neuropathy	NO_DATA	NO_DATA	NO_DATA
KMN754	Acute Respiratory Distress Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN7	Acute Viral Meningitis	NO_DATA	NO_DATA	NO_DATA
KMN722	Acute coronary syndrome	NO_DATA	NO_DATA	NO_DATA
KMN312	Addison's Disease	NO_DATA	H01598	Addison disease
KMN389	Adenine Phosphoribosyltransferase Deficiency	NO_DATA	H00195	Adenine phosphoribosyltransferase deficiency
KMN168	Adenoid-cystic carcinoma	C08.9	H01508	Salivary gland cancer
KMN258	Adenosine Deaminase Deficiency	NO_DATA	H02309	Adenosine deaminase deficiency
KMN388	Adenylosuccinate Lyase Deficiency	NO_DATA	H00197	Adenylosuccinate lyase deficiency
KMN77	Adrenal Carcinoma	NO_DATA	H00033	Adrenal carcinoma
KMN350	Adrenogenital Syndrome	E25	NO_DATA	NO_DATA
KMN338	Adult GH Deficiency	E23.0	H00255;H01699;H01700;H01860;H02027;H02035;H02036;H02038;H02039	Hypogonadotropic hypogonadism;Isolated TSH deficiency;Hypopituitarism;Abnormal pituitary gonadotropin secretion;Male hypogonadism;Isolated growth hormone deficiency;Combined pituitary hormone deficiency;X-linked panhypopituitarism;Kowarski syndrome
KMN789	Adult Still's disease	M06.1	H01516	Adult onset Still disease
KMN118	Adult T Cell Lymphoma/Leukemia	C91.5	H00009	Adult T-cell leukemia
KMN779	Afferent Loop Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN232	Afibrinogenemia	NO_DATA	H00222	Afibrinogenemia
KMN702	Age-Related Macular Degeneration	NO_DATA	H00821	Age-related macular degeneration
KMN854	Alagille Syndrome	NO_DATA	H00551	Alagille syndrome
KMN568	Albinism (oculocutaneous)	E70.3	H00168;H00169;H00170;H00759	Oculocutaneous albinism;Ocular albinism;Piebaldism;Waardenburg syndrome
KMN765	Alcoholic Cirrhosis	NO_DATA	NO_DATA	NO_DATA
KMN391	Alkaptonuria	NO_DATA	H00163	Alkaptonuria
KMN11	Allergic Bronchopulmonary Aspergillosis	NO_DATA	NO_DATA	NO_DATA
KMN747	Allergic Rhinitis	NO_DATA	H01360	Allergic rhinitis
KMN699	Allergic conjunctivitis	NO_DATA	NO_DATA	NO_DATA
KMN781	Allergic contact dermatitis	NO_DATA	H01357	Allergic contact dermatitis
KMN202	Alpha2 Plasmin Inhibitor Deficiency	D68.8	H00983;H01078;H01106;H01697	Alpha-2-plasmin inhibitor (a2-PI) deficiency;Fletcher factor deficiency;Plasminogen activator inhibitor type 1 deficiency;Antiphospholipid syndrome
KMN876	Alport's Syndrome	NO_DATA	H00581	Alport syndrome
KMN45	Alveolar Soft Part Sarcoma	NO_DATA	H00051	Alveolar soft part sarcoma
KMN603	Alzheimer's Disease	NO_DATA	H00056	Alzheimer disease
KMN590	Amyotrophic Lateral Sclerosis	G12.21	NO_DATA	NO_DATA
KMN900	Anaphylaxis	NO_DATA	H01359	Anaphylaxis
KMN128	Anaplastic Large T-cell Lymphoma	C83.3	H02434	Diffuse large B-cell lymphoma, not otherwise specified
KMN200	Anaplastic anemia	D61.0;D61.1;D61.2;D61.3;D61.9;D61.9	H00237;H00439;H00788;H01132	Diamond-Blackfan anemia;Shwachman-Diamond syndrome;Hoyeraal-Hreidarsson syndrome;Aplastic anemia
KMN68	Anaplastic astrocytoma	NO_DATA	NO_DATA	NO_DATA
KMN397	Andersen's Syndrome	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN314	Androgen Insensitivity Syndrome	NO_DATA	H02177	Androgen insensitivity syndrome
KMN742	Aneurysm	I71;I72	NO_DATA	NO_DATA
KMN725	Angina pectoris	NO_DATA	H01632	Angina pectoris
KMN812	Ankylosing Spondylitis	NO_DATA	H01674	Ankylosing spondylitis
KMN577	Anorexia Nervosa	F50.0	NO_DATA	NO_DATA
KMN806	Anti-Glomerular Basement Membrane Disease	M31.0	H01721	Anti-glomerular basement membrane (GBM) disease
KMN606	Anti-Hu Paraneoplastic Neuropathy	NO_DATA	NO_DATA	NO_DATA
KMN274	Antigen Peptide Transporter Deficiency	NO_DATA	NO_DATA	NO_DATA
KMN203	Antithrombin Deficiency	D68.5	H01381	Antithrombin III deficiency
KMN390	ApoA-I Deficiency	E78.6	H00158;H00927;H00930	Lecithin:cholesterol acyltransferase deficiency;Chylomicron retention disease;Hypoalphalipoproteinemia
KMN713	Apparent Mineralocorticoid Excess Syndrome	NO_DATA	H00259	Apparent mineralocorticoid excess syndrome
KMN392	Arginase Deficiency	E72.2	H00164;H00185;H00186;H01028;H01076;H01398;H01400	Carbamoyl phosphate synthetase I deficiency;Citrullinemia;Hyperargininemia;Argininosuccinic aciduria;Alpha-methylacetoacetic aciduria;Primary hyperammonemic disorders (Urea cycle disorders);Secondary hyperammonemia
KMN393	Argininosuccinic Acidemia	E72.2	H00164;H00185;H00186;H01028;H01076;H01398;H01400	Carbamoyl phosphate synthetase I deficiency;Citrullinemia;Hyperargininemia;Argininosuccinic aciduria;Alpha-methylacetoacetic aciduria;Primary hyperammonemic disorders (Urea cycle disorders);Secondary hyperammonemia
KMN313	Aromatase Deficiency	NO_DATA	H02020	Aromatase deficiency
KMN387	Aspartylglucosaminuria	NO_DATA	H00145	Aspartylglucosaminuria
KMN751	Asthma	NO_DATA	H00079	Asthma
KMN67	Astrocytoma	NO_DATA	NO_DATA	NO_DATA
KMN593	Ataxia Telangiectasia	NO_DATA	H00064	Ataxia telangiectasia
KMN740	Atherosclerosis	NO_DATA	H02505	Atherosclerosis
KMN780	Atopic Dermatitis	NO_DATA	H01358	Atopic dermatitis
KMN579	Autism	NO_DATA	H02111	Autism
KMN697	Autoimmune Autonomic Neuropathy	NO_DATA	NO_DATA	NO_DATA
KMN290	Autoimmune Hypothyroidism	E06.3	H00081	Hashimoto thyroiditis
KMN335	Autoimmune Polyendocrinopathy-Candidiasis-Ectodermal Dystrophy	E31.0	H01971;H01972	IPEX syndrome;Autoimmune polyendocrinopathy syndrome type 1
KMN698	Autonomic Neuropathy	NO_DATA	NO_DATA	NO_DATA
KMN550	Autosomal Dominant Hypophosphatemic Rickets	NO_DATA	H02141	Autosomal dominant hypophosphatemic rickets
KMN862	Autosomal Dominant Polycystic Kidney Disease	NO_DATA	NO_DATA	NO_DATA
KMN709	Autosomal Dominant Progressive Deafness	NO_DATA	NO_DATA	NO_DATA
KMN707	Autosomal Dominant Progressive External Ophthalmoplegia	NO_DATA	NO_DATA	NO_DATA
KMN278	Autosomal Recessive Agammaglobulinemia	NO_DATA	NO_DATA	NO_DATA
KMN551	Autosomal Recessive Hypercholesterolemia	E78.0	H01383;H01918	Hyperlipoproteinemia type IIa;Familial autosomal recessive hypercholesterolemia
KMN587	Autosomal Recessive Spastic Ataxia of Charlevoix-Saguenay	NO_DATA	H01170	Autosomal recessive spastic ataxia of Charlevoix-Saguenay
KMN607	Axonal Sensorimotor Neuropathy	NO_DATA	NO_DATA	NO_DATA
KMN87	B-cell Chronic Lymphocytic Leukaemia	C91.1	H00005	Chronic lymphocytic leukemia
KMN86	B-cell Lymphoma	C85.1	NO_DATA	NO_DATA
KMN246	BLNK Deficiency	NO_DATA	NO_DATA	NO_DATA
KMN878	Bardet-Biedl Syndrome	NO_DATA	H00418	Bardet-Biedl syndrome
KMN323	Bartter Syndrome	NO_DATA	H00239	Bartter syndrome
KMN34	Basal Cell Carcinoma	NO_DATA	H00039	Basal cell carcinoma
KMN661	Becker Muscular Dystrophy	NO_DATA	H01964	Becker muscular dystrophy
KMN662	Becker's Disease	G71.0	H00562;H00565;H00566;H00585;H00590;H00592;H00593;H00594;H00697;H01778;H01977;H02182;H02513	Dystrophinopathies;Sarcoglycanopathies;Distal myopathy with anterior tibial onset;Epidermolysis bullosa, hemidesmosomal;Congenital muscular dystrophies (CMD/MDC);Calpainopathy;Limb-girdle muscular dystrophy;Distal myopathy;X-linked myopathy with postural muscle atrophy;Ullrich disease;Laing distal myopathy;Distal myopathy, Tateyama type;Oculopharyngodistal myopathy
KMN800	Behcet's Syndrome	M35.2	H01476	Behcet disease
KMN626	Benign Neonatal Familial Convulsion	G40.3	H00606;H00783;H00806;H00808;H00810;H01775;H01822;H01994;H02150;H02212;H02213;H02216;H02217;H02353;H02362	Early infantile epileptic encephalopathy;Febrile seizures;Benign familial neonatal seizure;Idiopathic generalized epilepsies;Progressive myoclonic epilepsy;PCDH19-related epilepsy syndrome;Epilepsy with myoclonic absence;Lafora disease;Infantile or early childhood epileptic encephalopathy;Familial infantile myoclonic epilepsy;Familial adult myoclonic epilepsy;Juvenile absence epilepsy;Juvenile myoclonic epilepsy;Hyperekplexia and epilepsy;Benign familial infantile seizure
KMN772	Benign Recurrent Intrahepatic Cholestasis	NO_DATA	H02192	Benign recurrent intrahepatic cholestasis
KMN365	Beriberi	NO_DATA	H01566	Beriberi
KMN215	Bernard-Soulier Syndrome	NO_DATA	H00224	Bernard-Soulier syndrome
KMN379	Beta-mercaptolactate-cysteine disulfiduria	E72.1	H01237;H01285	Sulfite oxidase deficiency;Methylcobalamin deficiency type G
KMN576	Bipolar Disorder	NO_DATA	H01653	Bipolar disorder
KMN61	Bladder Cancer	NO_DATA	H00022	Bladder cancer
KMN880	Bloom Syndrome	NO_DATA	H01346	Bloom syndrome
KMN173	Brain Tumor	D32;D33;D42;D43;D48.9	NO_DATA	NO_DATA
KMN583	Brainstem Encephalitis	G04.8	H01812;H01863	Rasmussen encephalitis;Atopic myelitis
KMN47	Breast Cancer	NO_DATA	H00031	Breast cancer
KMN748	Bronchiectasis	J47	H00892	Bronchiectasis with or without elevated sweat chloride
KMN735	Brugada Syndrome	NO_DATA	H00728	Brugada syndrome
KMN897	Bulimia Nervosa	NO_DATA	NO_DATA	NO_DATA
KMN97	Burkitt's Lymphoma	NO_DATA	H00008	Burkitt lymphoma
KMN614	CADASIL	NO_DATA	NO_DATA	NO_DATA
KMN247	CD40 Deficiency	NO_DATA	NO_DATA	NO_DATA
KMN248	CD8 Deficiency	NO_DATA	NO_DATA	NO_DATA
KMN422	CETP Deficiency	E78.4	H01199;H01637	Hyperalphalipoproteinemia;Hypertriglyceridemia
KMN791	CPPD Deposition Disease	M11	NO_DATA	NO_DATA
KMN408	CPT II Deficiency	E71.3	H00162;H00176;H00177;H00178;H00392;H00407;H00488;H00489;H00525;H00925;H01121;H01123;H01352;H01364;H01589;H01929;H01980;H01983;H02085;H02096;H02098	Sjogren-Larsson syndrome;Adrenoleukodystrophy;Neonatal adrenoleukodystrophy;Glutaric acidemia;VLCAD deficiency;Peroxisomal beta-oxidation enzyme deficiency;MCAD deficiency;LCHAD deficiency;Disorders of mitochondrial fatty-acid oxidation;2-Methyl-3-hydroxybutyryl-CoA dehydrogenase (MHBD) deficiency;Succinyl CoA:3-oxoacid CoA transferase (SCOT) deficiency;HMG-CoA synthase deficiency;Mitochondrial trifunctional protein deficiency;3-Hydroxyacyl-CoA dehydrogenase deficiency;Systemic primary carnitine deficiency;2,4-Dienoyl-CoA reductase deficiency;SCAD deficiency;Carnitine-acylcarnitine translocase deficiency;Acyl-CoA dehydrogenase 9 deficiency;Peroxisomal acyl-CoA oxidase deficiency;D-bifunctional protein deficiency
KMN813	Calcific Tendinitis	NO_DATA	NO_DATA	NO_DATA
KMN866	Campomelic Dysplasia	NO_DATA	H00442	Campomelic dysplasia
KMN411	Carbamylphosphate Synthase Deficiency	E72.29	NO_DATA	NO_DATA
KMN412	Carbinolamine Dehydratase Deficiency	E70.1	NO_DATA	NO_DATA
KMN315	Carcinoid Syndrome	E34.0	NO_DATA	NO_DATA
KMN78	Carcinoid Tumor	NO_DATA	NO_DATA	NO_DATA
KMN52	Carcinoma of the Fallopian Tube	C57	NO_DATA	NO_DATA
KMN136	Carney Complex	NO_DATA	H01820	Carney complex
KMN409	Carnitine Deficiency	E71.3	H00162;H00176;H00177;H00178;H00392;H00407;H00488;H00489;H00525;H00925;H01121;H01123;H01352;H01364;H01589;H01929;H01980;H01983;H02085;H02096;H02098	Sjogren-Larsson syndrome;Adrenoleukodystrophy;Neonatal adrenoleukodystrophy;Glutaric acidemia;VLCAD deficiency;Peroxisomal beta-oxidation enzyme deficiency;MCAD deficiency;LCHAD deficiency;Disorders of mitochondrial fatty-acid oxidation;2-Methyl-3-hydroxybutyryl-CoA dehydrogenase (MHBD) deficiency;Succinyl CoA:3-oxoacid CoA transferase (SCOT) deficiency;HMG-CoA synthase deficiency;Mitochondrial trifunctional protein deficiency;3-Hydroxyacyl-CoA dehydrogenase deficiency;Systemic primary carnitine deficiency;2,4-Dienoyl-CoA reductase deficiency;SCAD deficiency;Carnitine-acylcarnitine translocase deficiency;Acyl-CoA dehydrogenase 9 deficiency;Peroxisomal acyl-CoA oxidase deficiency;D-bifunctional protein deficiency
KMN410	Carnosinase deficiency	E70.8	H00548;H01233;H01262;H02087	Brunner syndrome;Urocanase deficiency;Formiminotransferase deficiency;Vertebral, cardiac, renal, and limb defects syndrome
KMN641	Carpal Tunnel Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN872	Cartilage-Hair Hypoplasia	NO_DATA	H01966	Cartilage-hair hypoplasia
KMN155	Castleman's Disease	NO_DATA	H01479	Castleman disease
KMN701	Cataract	NO_DATA	H01202	Cataract
KMN733	Catecholamine VT	I47.2	H01019;H02269	Catecholaminergic polymorphic ventricular tachycardia;Familial ventricular tachycardia
KMN775	Celiac Sprue	NO_DATA	NO_DATA	NO_DATA
KMN656	Central Core Disease	NO_DATA	H00699	Central core disease
KMN692	Centronuclear Myopathy	NO_DATA	H00700	Centronuclear myopathy
KMN567	Cerebrotendinous xanthomatosis	NO_DATA	H00151	Cerebrotendinous xanthomatosis
KMN51	Cervix Cancer	C53	H00030	Cervical cancer
KMN628	Charcot-Marie-Tooth Disease Type 1	NO_DATA	NO_DATA	NO_DATA
KMN629	Charcot-Marie-Tooth Disease Type 2	NO_DATA	NO_DATA	NO_DATA
KMN437	Chediak-Higashi Syndrome	NO_DATA	H02021	Chediak-Higashi syndrome
KMN620	Childhood absence epilepsy	NO_DATA	H02215	Childhood absence epilepsy
KMN21	Cholangiocarcinoma	NO_DATA	H00046	Cholangiocarcinoma
KMN421	Cholesteryl Ester Storage Disease	E75.5	H00148;H00736;H00883;H01297;H01661;H02284	Lysosomal acid lipase deficiency;Dorfman-Chanarin syndrome;Lipoid proteinosis;Neutral lipid storage disease with myopathy;Xanthoma;Leukotriene C4 synthase deficiency
KMN873	Chondrodysplasia	NO_DATA	NO_DATA	NO_DATA
KMN33	Chondrosarcoma	NO_DATA	NO_DATA	NO_DATA
KMN602	Chorea	G25.5	H00860;H02367	Benign hereditary chorea;Chorea, childhood-onset, with psychomotor retardation
KMN54	Choriocarcinoma	NO_DATA	H00028	Choriocarcinoma
KMN245	Chronic Granulomatous Disease	NO_DATA	H00098	Chronic granulomatous disease
KMN176	Chronic Idiopathic Myelofibrosis	D47.4	NO_DATA	NO_DATA
KMN645	Chronic Inflammatory Demyelinating Polyneuropathy	NO_DATA	NO_DATA	NO_DATA
KMN127	Chronic Myelogenous Leukemia	C92.1	H00004	Chronic myeloid leukemia
KMN750	Chronic Obstructive Pulmonary Disease	J44	H01714	Chronic obstructive pulmonary disease (COPD)
KMN647	Chronic Sensory Ataxic Neuropathy	NO_DATA	NO_DATA	NO_DATA
KMN646	Chronic Sensory Motor Neuropathy	NO_DATA	NO_DATA	NO_DATA
KMN430	Citrullinemia Type I	E72.2	H00164;H00185;H00186;H01028;H01076;H01398;H01400	Carbamoyl phosphate synthetase I deficiency;Citrullinemia;Hyperargininemia;Argininosuccinic aciduria;Alpha-methylacetoacetic aciduria;Primary hyperammonemic disorders (Urea cycle disorders);Secondary hyperammonemia
KMN429	Citrullinemia Type II	E72.2	H00164;H00185;H00186;H01028;H01076;H01398;H01400	Carbamoyl phosphate synthetase I deficiency;Citrullinemia;Hyperargininemia;Argininosuccinic aciduria;Alpha-methylacetoacetic aciduria;Primary hyperammonemic disorders (Urea cycle disorders);Secondary hyperammonemia
KMN535	Classic Cystinuria	E72.0	H00692;H00843;H00899;H00901;H01198;H01386;H02419	Lowe syndrome;Hartnup disorder;Lysinuric protein intolerance;Cystinuria;Fanconi renotubular syndrome;Asparagine synthetase deficiency;Glycine encephalopathy with normal serum glycine
KMN117	Classical Hodgkin's Lymphoma	C81.2	NO_DATA	NO_DATA
KMN885	Cleidocranial dysplasia	NO_DATA	H00521	Cleidocranial dysplasia
KMN220	Coagulant factor VII hyperactivity	D68.2	H00223;H00941	Inherited thrombophilia;Factor XII deficiency
KMN20	Colorectal Cancer	NO_DATA	H00020	Colorectal cancer
KMN342	Congenital Adrenal Hyperplasia	NO_DATA	H00216	Congenital adrenal hyperplasia
KMN554	Congenital Chloridorrhea	P78.3	H01174	Congenital diarrhea
KMN336	Congenital Disorders Associated with Gonadotropin Deficiency	E23.0	H00255;H01699;H01700;H01860;H02027;H02035;H02036;H02038;H02039	Hypogonadotropic hypogonadism;Isolated TSH deficiency;Hypopituitarism;Abnormal pituitary gonadotropin secretion;Male hypogonadism;Isolated growth hormone deficiency;Combined pituitary hormone deficiency;X-linked panhypopituitarism;Kowarski syndrome
KMN556	Congenital Erythropoietic Porphyria	E80.0	H00201	Erythropoietic porphyria
KMN853	Congenital Heart Disease	Q24.9	NO_DATA	NO_DATA
KMN555	Congenital Homocystinuria Syndrome	E72.1	H01237;H01285	Sulfite oxidase deficiency;Methylcobalamin deficiency type G
KMN643	Congenital Hypomyelination	NO_DATA	NO_DATA	NO_DATA
KMN291	Congenital Hypothyroidism	E03.1	H00250;H00913;H01040;H02034	Congenital nongoitrous hypothyroidism (CHNG);Brain-lung-thyroid syndrome;Bamforth-Lazarus syndrome;Central hypothyroidism and testicular enlargement
KMN341	Congenital Lipoid Adrenal Hyperplasia	E25.0	H02315	Disordered steroidogenesis due to cytochrome P450 oxidoreductase
KMN239	Congenital Methemoglobinemia	D74.0	H00235	Methemoglobinemia
KMN691	Congenital Myasthenic Syndrome	NO_DATA	H00770	Congenital myasthenic syndrome
KMN224	Congenital amegakaryocytic thrombocytopenia	NO_DATA	H00227	Congenital amegakaryocytic thrombocytopenia
KMN221	Congenital coagulant factor XII deficiency	D68.2	H00223;H00941	Inherited thrombophilia;Factor XII deficiency
KMN193	Congenital hemolytic anemia	D55, D57	NO_DATA	NO_DATA
KMN223	Congenital heparin cofactor II deficiency	D68.5	H01381	Antithrombin III deficiency
KMN222	Congenital hypoplasminogenemia	L90.5	H01206	Plasminogen deficiency
KMN240	Congenital neutropenia	D70	H00100;H00939;H01218;H01725	Neutropenic disorders;Darsun syndrome;P14 deficiency;Primary immunodeficiency disease
KMN721	Coronary vasospasm	NO_DATA	NO_DATA	NO_DATA
KMN153	Cowden's syndrome	NO_DATA	H01222	Cowden syndrome
KMN171	Craniopharyngioma	D44.4	NO_DATA	NO_DATA
KMN831	Crescentic Glomerulonephritis	N01.9	H01688	Rapidly progressive glomerulonephritis
KMN5	Creutzfeldt-Jakob Disease	NO_DATA	NO_DATA	NO_DATA
KMN415	Crigler-Najjar Syndrome	NO_DATA	H02054	Crigler-Najjar syndrome
KMN762	Crohn's Disease	NO_DATA	H00286	Crohn disease
KMN95	Crow-Fukase Syndrome	NO_DATA	H01461	Crow-Fukase syndrome
KMN824	Cryoglobulinemia Glomerulopathy	D89.1	NO_DATA	NO_DATA
KMN859	Cryptorchidism	NO_DATA	H02176	Cryptorchidism
KMN319	Cushing's Disease	E24.0	NO_DATA	NO_DATA
KMN318	Cushing's Syndrome	NO_DATA	H01431	Cushing syndrome
KMN36	Cutaneous Squamous Cell Carcinoma	C44	H00040	Squamous cell carcinoma
KMN124	Cutaneous T cell Lymphoma	C84.8	NO_DATA	NO_DATA
KMN426	Cystathioninuria	NO_DATA	H00182	Cystathioninuria
KMN566	Cystic Fibrosis	NO_DATA	H00218	Cystic fibrosis
KMN427	Cystinosis	NO_DATA	H00275	Cystinosis
KMN249	DNA Ligase IV Deficiency	NO_DATA	NO_DATA	NO_DATA
KMN594	DOPA-responsive Dystonia	G24.8	H01161	Aromatic L-amino acid decarboxylase deficiency
KMN743	Deep Venous Thrombosis	NO_DATA	NO_DATA	NO_DATA
KMN180	Deficiency of Transcobalamin II	NO_DATA	NO_DATA	NO_DATA
KMN630	Dejerine-Sottas Disease	NO_DATA	H02359	Dejerine-Sottas disease
KMN604	Dementia with Lewy Bodies	NO_DATA	NO_DATA	NO_DATA
KMN591	Dentatorubropallidoluysian Atrophy	G11.2	H00060	Dentatorubropallidoluysian atrophy (DRPLA)
KMN860	Denys-Drash Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN575	Depression	F32	H01646	Major depressive disorder
KMN37	Dermatofibrosarcoma Protuberans	C44;C49	H00040;H00049;H00052	Squamous cell carcinoma;Myxoid liposarcoma;Clear cell sarcoma of soft tissue
KMN810	Dermatomyositis	M33.0;M33.1	NO_DATA	NO_DATA
KMN167	Desmoplastic Small Round-cell Tumor	C48.2	NO_DATA	NO_DATA
KMN266	DiGeorge Syndrome	NO_DATA	H01524	DiGeorge syndrome
KMN348	Diabetes Insipidus	E23.2	H00253	Neurohypophyseal diabetes insipidus (NPDI)
KMN303	Diabetic Ketoacidosis	NO_DATA	NO_DATA	NO_DATA
KMN829	Diabetic Nephropathy	NO_DATA	H01456	Diabetic nephropathy
KMN704	Diabetic Proliferative Retinopathy	H35.2	H01798	Autosomal dominant neovascular inflammatory vitreoretinopathy
KMN304	Diabetic neuropathy	NO_DATA	H01459	Diabetic neuropathy
KMN564	Dibasic Aminoaciduria	E72.0	H00692;H00843;H00899;H00901;H01198;H01386;H02419	Lowe syndrome;Hartnup disorder;Lysinuric protein intolerance;Cystinuria;Fanconi renotubular syndrome;Asparagine synthetase deficiency;Glycine encephalopathy with normal serum glycine
