index	Keymolnet_disease	MeSH	OMIM	Gene_symbol	UniProtID	Drug_name	kegg_drugID	DrugBank	HMDB_ChEBI
KMN311	ACTH Deficiency	C535668	201400	TBX19	B3KRD9;O60806	NO_DATA	NO_DATA	NO_DATA	17650
KMN444	ALA-Dehydratase-Deficient Porphyria	D017094	121300;125270;176000;176100;176200	ALAD;CPOX;HFE;HMBS;PPOX;UROD	A0A140VJL9;P06132;P08397;P13716;P36551;P50336;Q30201;Q6ZMU0	Chlorpromazine hydrochloride;Givosiran sodium	D00789;D11708	DB00477	17381;17549;27609;28421;89912
KMN573	Abetalipoproteinemia	D000012	200100	MTTP	P55157	NO_DATA	NO_DATA	NO_DATA	16113;17336;18145
KMN874	Achondrodysplasia	C562937;D000130;D013796	100800;146000;187600;187601;616482	FGFR3	P22607;Q0IJ44	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN561	Acrodermatitis Enteropathica	C538178	201100	SLC39A4	Q6P5W5	NO_DATA	NO_DATA	NO_DATA	29105
KMN340	Acromegaly	D000172	102200;300943	AIP;GNAS;GPR101	A0A0S2Z3H8;G9I2H4;O00170;O95467;P63092;Q96P66	Bromocriptine mesylate;Lanreotide acetate;Octreotide acetate;Pasireotide pamoate;Pegvisomant	D00780;D04666;D05394;D06495;D10566	DB00082;DB00104;DB01200	NO_DATA
KMN518	Activation-Induced Cytidine Deaminase Deficiency	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN580	Acute Bacterial Meningitis	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN640	Acute Inflammatory Demyelinating Polyneuropathy	D020277	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN529	Acute Intermittent Porphyria	D017094	121300;125270;176000;176100;176200	ALAD;CPOX;HFE;HMBS;PPOX;UROD	A0A140VJL9;P06132;P08397;P13716;P36551;P50336;Q30201;Q6ZMU0	Chlorpromazine hydrochloride;Givosiran sodium	D00789;D11708	DB00477	17381;17549;27609;28421;89912
KMN104	Acute Lymphoid Leukemia	D054198;D054218	NO_DATA	BCR-ABL;CRLF2;E2A-PBX1;HOX11;HOX11L2;LMO2;LYL1;MLL-AF4;MLL-ENL;MYC;NOTCH1;PAX5;PICALM-MLLT10;TAL1;TEL-AML1;c-MYC	A0A024R8E2;A1MJ41;A8K5V0;D0E2W4;O43711;P00519;P01106;P12980;P15923;P17542;P25791;P31314;P40424;P46531;P51825;P55197;Q01196;Q02548;Q03164;Q14C88;Q16509;Q59EQ6;Q59FK4;Q6N002;Q9HC73	Asparaginase;Blinatumomab;Calaspargase pegol;Clofarabine;Cyclophosphamide;Dasatinib;Daunorubicin hydrochloride;Doxorubicin hydrochloride;Enocitabine;Imatinib mesylate;Inotuzumab ozogamicin;Mercaptopurine;Methotrexate;Mitoxantrone hydrochloride;Nelarabine;Pegaspargase;Ponatinib hydrochloride;Teniposide;Tisagenlecleucel-T;Vincristine sulfate	D00142;D00161;D00287;D01264;D01275;D01441;D01633;D02166;D02197;D02698;D02997;D03546;D05134;D05387;D06414;D08933;D09325;D09951;D10096;D11386	DB00023;DB00059;DB00444;DB00531;DB00541;DB00563;DB00619;DB00631;DB00694;DB01033;DB01204;DB01280	NO_DATA
KMN639	Acute Motor Axonal Neuropathy	D019846	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN105	Acute Myeloid Leukemia	D015470	NO_DATA	AKT1;AKT2;AKT3;AML1;AML1-ETO;ARAF;BAD;BCL2A1;BRAF;C/EBPalpha;CCNA1;CCNA2;CCND1;CD14;CEBPA;CEBPE;CHUK;CSF1R;CSF2;DUSP6;EIF4EBP1;FCGR1A;FLT3;GRB2;HRAS;IKBKB;IKBKG;IL3;ITGAM;JUP;K-ras;KIT;KRAS;LEF1;MAP2K1;MAP2K2;MAPK1;MAPK3;MPO;MTOR;MYC;N-ras;NFKB1;NRAS;PER2;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;PIM1;PIM2;PLZF-RARalpha;PML;PML-RARalpha;PPARD;PU.1;RAF1;RARA;RELA;RPS6KB1;RPS6KB2;RUNX1;RUNX1T1;SOS1;SOS2;SPI1;STAT3;STAT5A;STAT5B;TCF7;TCF7L1;TCF7L2;ZBTB16;c-KIT	A0A024QYW7;A0A024R178;A0A024R3C6;A0A024R562;A0A024RBC1;A0A024RCW6;A0A024RD25;A0A0S2Z487;A0A2K8FKV1;A0A2X0SFG1;A0A384N5W4;A4QPA9;A8K6I5;B0LPE5;B0LPF3;B3KQ75;I1SRC5;L7RRS6;L7RSL8;L7RXH5;O00329;O00459;O14920;O15055;O15111;P01106;P01111;P01112;P01116;P04049;P04141;P05164;P07333;P08571;P08700;P10276;P10398;P10721;P11215;P11309;P12314;P14923;P15056;P17947;P19838;P20248;P23443;P24385;P27361;P27986;P28482;P29590;P31749;P31751;P36402;P36507;P36888;P40763;P42229;P42336;P42338;P42345;P49715;P51692;P62993;P78396;Q01196;Q02750;Q03181;Q04206;Q05516;Q06455;Q07889;Q07890;Q13541;Q15744;Q16548;Q16828;Q1HBJ4;Q499G7;Q4LE51;Q59GY7;Q5U091;Q659G9;Q6FI00;Q6I9R7;Q8N381;Q92569;Q92934;Q9HCS4;Q9NQB0;Q9P1W9;Q9UBS0;Q9UJU2;Q9Y243;Q9Y6K9;X5D945	Arsenic trioxide;Cyclophosphamide;Cytarabine;Daunorubicin and cytarabine;Daunorubicin hydrochloride;Doxorubicin hydrochloride;Enasidenib mesylate;Enocitabine;Gemtuzumab ozogamicin;Gilteritinib fumarate;Glasdegib maleate;Idarubicin hydrochloride;Ivosidenib;Midostaurin;Mitoxantrone hydrochloride;Sargramostim;Thioguanine;Venetoclax	D00168;D00287;D01264;D01275;D01633;D01747;D02106;D02166;D03259;D05029;D05803;D06109;D10679;D10800;D11044;D11090;D11107;D11390	DB00020;DB00056;DB00352;DB00531;DB00694;DB00987;DB01169;DB01177;DB01204	NO_DATA
KMN773	Acute Pancreatitis	D019283	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN737	Acute Pericarditis	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN638	Acute Pharyngeal Cervicobrachial Neuropathy	D019846	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN754	Acute Respiratory Distress Syndrome	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN7	Acute Viral Meningitis	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN722	Acute coronary syndrome	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN312	Addison's Disease	D000224	240200;300200	NR0B1	F1D8P4;P51843	Dexamethasone sodium phosphate;Fludrocortisone acetate;Hydrocortisone;Prednisolone sodium phosphate;Prednisone;Triamcinolone acetonide	D00088;D00473;D00975;D00981;D00983;D00986	DB00620;DB00635;DB00687;DB00741;DB00860;DB01234	15903;17650;28918
KMN389	Adenine Phosphoribosyltransferase Deficiency	C538228	614723	APRT	P07741	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN168	Adenoid-cystic carcinoma	D012468	NO_DATA	CDKN2A;CRTC1-MAML2;EGFR;ETV6-NTRK3;HER2;MYB-NF1B	F2YGG7;K7PML8;P00533;P04626;P10242;P42771;Q16288;Q504U8;Q6UUV9;Q708E9;Q8IZL2;X5D2R1;X5DNK3	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN258	Adenosine Deaminase Deficiency	C531816	102700	ADA	A0A0S2Z381;P00813	Elapegademase;Pegademase bovine	D05384;D11017	DB00061	16284;17256;18083
KMN388	Adenylosuccinate Lyase Deficiency	C538235	103050	ADSL	P30566;X5D8S6	NO_DATA	NO_DATA	NO_DATA	16335;17256;17775;18319;71169
KMN77	Adrenal Carcinoma	D000306	NO_DATA	ACTH-R;GNAI2;IGF II;MEN1;N-ras;p16/INK4A;p53	A0A024R5D2;B3KP24;K7PPA8;O00255;P01111;P01344;P04637;P04899;P49918;Q01718;Q53GA5;Q5U091	Mitotane	D00420	DB00648	NO_DATA
KMN350	Adrenogenital Syndrome	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN338	Adult GH Deficiency	C536917;C537919;D004393;D006964;D007006;D007018;D017436	101000;115150;146110;147950;151100;160900;162200;162210;163950;173100;176270;182230;193520;201710;201750;201810;202110;218040;221750;228300;238320;244200;262400;262500;262600;262650;262700;264300;264600;270400;275100;300068;307200;308700;312000;312300;601321;602668;607721;608747;609942;610628;610733;611431;611553;611554;612370;612702;612781;613038;613224;613563;613706;613707;613743;613986;614837;614838;614839;614840;614841;614842;614858;614880;614897;615266;615267;615269;615270;615271;615355;616030	;ANOS1;AR;BRAF;BTK;CBL;CHD7;CNBP;CYP11A1;CYP17A1;DHCR7;DMPK;DUSP6;FEZF1;FGF17;FGF8;FGFR1;FLRT3;GH1;GHR;GHRH;GHRHR;GNRH1;GNRHR;HESX1;HRAS;HS6ST1;HSD17B3;HSD3B2;IGF1;IL17RD;KAL1;KISS1;KISS1R;KRAS;LHB;LHCGR;LHX3;LHX4;NDN;NF1;NF2;NRAS;NSMF;OTX2;POR;POU1F1;PROK2;PROKR2;PROP1;PTPN11;RAF1;RIT1;SEMA3A;SHOC2;SNRPN;SOS1;SOX3;SPRED1;SPRY4;SRD5A2;STAR;TAC3;TACR3;TRH receptor;TSHB;WDR11	A0A024RB47;A0A024RBC1;A0A090N8Y6;A0A0F7RQE6;A0A0G2JQ02;A0A0S2Z5S4;A0PJY2;A1A515;A1LQR0;A8K1T0;B1A4G6;B4DXM5;F1T0D1;F1T0D5;O60243;O60258;O75360;P01111;P01112;P01116;P01148;P01222;P01229;P01241;P01286;P04049;P05019;P05093;P05108;P10275;P10912;P11362;P15056;P16435;P21359;P22681;P22888;P23352;P26439;P28069;P29371;P30968;P31213;P32243;P34981;P35240;P37058;P41225;P49675;P55075;P62633;P63162;Q02643;Q06124;Q06187;Q07889;Q09013;Q14563;Q15726;Q16828;Q5JY90;Q6X4W1;Q6ZWF9;Q7Z699;Q8NFJ6;Q8NFM7;Q92963;Q969F8;Q969G2;Q99608;Q9BZH6;Q9C004;Q9HC23;Q9NZU0;Q9P2D1;Q9UBM7;Q9UBR4;Q9UBX0;Q9UHF0;Q9UQ13	Fluoxymesterone;Methyltestosterone;Paricalcitol;Testosterone;Testosterone cypionate;Testosterone enanthate;Testosterone undecanoate	D00075;D00327;D00408;D00930;D00957;D00958;D06087	DB00624;DB00910;DB01185	15903;16113;16330;16422;16469;16581;16814;16973;17026;17066;17252;17347;17650;17710;17759;17933;17996;18258;18332;27584;28689;28750;29101;29103;42534;805752;89982
KMN789	Adult Still's disease	D016706	NO_DATA	HLA-DRB1;IL-18;MEFV	O15553;P01911;Q14116;Q5Y7D1	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN118	Adult T Cell Lymphoma/Leukemia	D015459	NO_DATA	ADCY1;ADCY2;ADCY3;ADCY4;ADCY5;ADCY6;ADCY7;ADCY8;ADCY9;AKT1;AKT2;AKT3;ANAPC1;ANAPC10;ANAPC11;ANAPC2;ANAPC4;ANAPC5;ANAPC7;ATF2;ATF4;ATF6B;ATM;ATR;B2M;BAX;BCL2L1;BUB1B;BUB3;CALR;CANX;CCNA1;CCNA2;CCNB2;CCND1;CCND2;CCND3;CCNE1;CCNE2;CD3D;CD3E;CD3G;CD4;CD40;CDC16;CDC20;CDC23;CDC26;CDC27;CDK2;CDK4;CDKN1A;CDKN2A;CDKN2B;CDKN2C;CHEK1;CHEK2;CHUK;CREB1;CREB3;CREB3L1;CREB3L2;CREB3L3;CREB3L4;CREB5;CREBBP;CRTC1;CRTC2;CRTC3;CSF2;DLG1;E2F1;E2F2;E2F3;EGR1;EGR2;ELK1;ELK4;EP300;ESPL1;ETS1;ETS2;FDPS;FOS;FOSL1;Fas;GPS2;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB3;HLA-DRB4;HLA-DRB5;HLA-E;HLA-F;HLA-G;HRAS;ICAM1;IKBKB;IKBKG;IL15;IL15RA;IL1R1;IL1R2;IL2;IL2RA;IL2RB;IL2RG;IL6;ITGAL;ITGB2;JAK1;JAK3;JUN;KAT2A;KAT2B;KAT5;KRAS;LCK;LTA;LTBR;MAD1L1;MAD2L1;MAP2K1;MAP2K2;MAP2K4;MAP3K1;MAP3K14;MAP3K3;MAPK1;MAPK10;MAPK3;MAPK8;MAPK9;MMP7;MSX1;MSX2;MYC;NFATC1;NFATC2;NFATC3;NFATC4;NFKB1;NFKB2;NFKBIA;NFYB;NRAS;NRP1;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;POLB;PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2;PRKACA;PRKACB;PRKACG;PTEN;PTTG1;PTTG2;RAN;RANBP1;RANBP3;RB1;RELA;RELB;SLC25A31;SLC25A4;SLC25A5;SLC25A6;SLC2A1;SMAD2;SMAD3;SMAD4;SPI1;SRF;STAT5A;STAT5B;TBP;TBPL1;TBPL2;TCF3;TERT;TGFB1;TGFB2;TGFB3;TGFBR1;TGFBR2;TLN1;TLN2;TNF;TNFRSF13C;TNFRSF1A;TP53;TRRAP;TSPO;VAC14;VDAC1;VDAC2;VDAC3;XIAP;XPO1;ZFP36;p16/INK4A;p53	A0A024QZT0;A0A024R1A7;A0A024R274;A0A024R3C7;A0A024R597;A0A024R5Z3;A0A024R7J0;A0A024R7M7;A0A024R832;A0A024R985;A0A024R9B0;A0A024RB77;A0A024RBB6;A0A024RBG7;A0A024RBJ3;A0A024RCX5;A0A024RD16;A0A024RDV3;A0A024RDZ2;A0A0G2JMH6;A0A0K0K1K3;A0A0S2Z3C5;A0A0S2Z3C7;A0A0S2Z3H3;A0A0S2Z3Y8;A0A0S2Z4C6;A0A0S2Z595;A0A140VK94;A0A173ADG5;A0A1L1UHR1;A0A1V0E3M7;A0A1V0E3N1;A0A1V0E3N3;A0A1V0E3N6;A0A1V0E3N7;A0A1V0E3P0;A0A1V0E3P1;A0A1V0E3P2;A0A1V0E3P3;A0A1V0E3P6;A0A1V0E3P8;A0A1V0E3P9;A0A1V0E3Q1;A0A1V0E3Q2;A0A1V0E3Q3;A0A1V0E3Q4;A0A1V0E3Q5;A0A1V0E3Q6;A0A1V0E3Q7;A0A1V0E3Q8;A0A1V0E3R0;A0A1V0E3R3;A0A1V0E3R4;A0A1V0E3R6;A0A1V0E3R8;A0A1V0E3S0;A0A1V0E3S4;A0A1V0E3S6;A0A1V0E3S7;A0A1V0E3T1;A0A286YF97;A0A2K8FKV1;A0A2X0SFG1;A0A2Z4LKS3;A0A384MEK5;A0A384N5W4;A0A384P5Q5;A0A494C0X7;A0A499FJK2;A0A4D6G1L1;A0A4E9D3W4;A0A4Y5UGE4;A1L4K2;A3QNQ0;A4QPA9;A5YM40;A8K6I5;A8K8M6;B0LPE5;B0YIY4;B0YIY5;B2RA75;B2RAL6;B2RB89;B3KTS5;B3KWD0;B4DT49;B4DT73;B4DVM1;B4DW78;B4DXN7;B5B2S1;B7Z2C7;E5FQ95;F6KD01;I1SRC5;I4EC15;K7PML8;K7PPA8;K7PPU3;L7RSL8;L7RXH5;M0QY76;O00329;O00459;O00716;O14746;O14757;O14786;O14920;O14980;O15111;O19682;O43306;O43684;O43889;O60266;O60503;O60566;O76068;O95067;O95622;O95644;O95997;O96017;O96020;P01100;P01106;P01111;P01112;P01116;P01137;P01374;P01375;P01589;P01730;P01889;P01903;P01906;P01909;P01911;P01920;P04141;P04234;P04439;P04440;P04637;P05107;P05141;P05231;P05362;P05412;P06239;P06340;P06400;P06746;P07766;P09237;P09693;P10321;P10600;P11161;P11166;P11802;P11831;P12235;P12236;P13747;P13762;P13765;P14324;P14778;P14784;P14921;P15036;P15336;P15407;P15923;P16220;P16298;P17612;P17693;P17947;P18146;P18848;P19419;P19438;P19838;P20036;P20226;P20248;P20701;P21796;P22612;P22694;P23458;P24385;P24864;P24941;P25208;P25445;P25942;P25963;P26651;P27361;P27797;P27824;P27930;P27986;P28068;P28324;P28360;P28482;P30260;P30279;P30281;P30511;P30536;P31749;P31751;P31785;P35548;P36507;P36897;P36941;P37173;P38936;P40145;P40933;P42229;P42336;P42338;P42771;P42772;P42773;P43487;P45880;P45983;P45984;P45985;P48454;P51692;P51828;P52333;P53779;P60484;P60568;P61769;P61812;P62380;P62826;P63098;P78396;P79483;P84022;P98170;Q00653;Q01094;Q01201;Q02750;Q02930;Q04206;Q07812;Q07817;Q08209;Q08462;Q08828;Q08AM6;Q09472;Q0GK43;Q12834;Q12959;Q12968;Q13042;Q13227;Q13233;Q13257;Q13261;Q13315;Q13469;Q13485;Q13535;Q14209;Q14674;Q14934;Q15796;Q1HBJ4;Q30154;Q31604;Q32MN7;Q499G7;Q4F7X0;Q4KMX6;Q4LE51;Q53ET0;Q53GA5;Q53X93;Q53XR6;Q546S1;Q59EG9;Q59F20;Q59GX2;Q59GY7;Q5H8V1;Q5JZ47;Q5QNS2;Q5STB3;Q5STV3;Q5SUL5;Q5T7S2;Q5U091;Q5Y7D1;Q5Y7D3;Q68CJ9;Q68D39;Q68D60;Q68DN3;Q69YV3;Q6AWA9;Q6AZW6;Q6DU14;Q6FG41;Q6FI00;Q6I9V5;Q6IAL9;Q6ICR9;Q6ICV4;Q6NVC0;Q6P2H9;Q6P669;Q6R739;Q6SJ96;Q6UUV7;Q6UUV9;Q70SY1;Q71UM8;Q75MH2;Q76NI6;Q7Z6C1;Q86YI0;Q8IXL1;Q8MH44;Q8N381;Q8NFM4;Q8NHZ8;Q8TEF4;Q8TEY5;Q92569;Q92793;Q92830;Q92831;Q92993;Q95HC2;Q96BA8;Q96LZ3;Q96RJ3;Q99558;Q99759;Q99941;Q9BSD8;Q9H0C2;Q9H1A4;Q9H6Z4;Q9NYG5;Q9NZH5;Q9P0T0;Q9UJX2;Q9UJX3;Q9UJX4;Q9UJX5;Q9UJX6;Q9UM13;Q9Y243;Q9Y277;Q9Y490;Q9Y4A5;Q9Y4G6;Q9Y6D9;Q9Y6K9;V9HW88;X5CF87;X5CKE2;X5D2U9;X5D945	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN779	Afferent Loop Syndrome	D012778	NO_DATA	NO_DATA	NO_DATA	Teduglutide	D06053	NO_DATA	NO_DATA
KMN232	Afibrinogenemia	NO_DATA	202400	FGA;FGB;FGG	P02671;P02675;P02679;V9HVY1	NO_DATA	NO_DATA	NO_DATA	NO_DATA
