KMN_ID	Name	ICD10	Count
KMN568	Albinism_(oculocutaneous)	NO_DATA	3
KMN765	Alcoholic_Cirrhosis	NO_DATA	11
KMN391	Alkaptonuria	NO_DATA	3
KMN11	Allergic_Bronchopulmonary_Aspergillosis	B44.81	6
KMN747	Allergic_Rhinitis	NO_DATA	23
KMN699	Allergic_conjunctivitis	NO_DATA	2
KMN781	Allergic_contact_dermatitis	L23	12
KMN202	Alpha2_Plasmin_Inhibitor_Deficiency	NO_DATA	4
KMN876	Alport_s_Syndrome	NO_DATA	7
KMN45	Alveolar_Soft_Part_Sarcoma	NO_DATA	2
KMN603	Alzheimer_s_Disease	G30	133
KMN590	Amyotrophic_Lateral_Sclerosis	G12.21	176
KMN900	Anaphylaxis	NO_DATA	8
KMN128	Anaplastic_Large_T-cell_Lymphoma	NO_DATA	6
KMN200	Anaplastic_anemia	NO_DATA	18
KMN68	Anaplastic_astrocytoma	NO_DATA	4
KMN397	Andersen_s_Syndrome	NO_DATA	1
KMN314	Androgen_Insensitivity_Syndrome	E34.5	11
KMN742	Aneurysm	NO_DATA	33
KMN725	Angina_pectoris	I20	31
KMN812	Ankylosing_Spondylitis	M45	19
KMN577	Anorexia_Nervosa	F50.0	13
KMN806	Anti-Glomerular_Basement_Membrane_Disease	NO_DATA	5
KMN606	Anti-Hu_Paraneoplastic_Neuropathy	NO_DATA	3
KMN274	Antigen_Peptide_Transporter_Deficiency	NO_DATA	2
KMN203	Antithrombin_Deficiency	NO_DATA	1
KMN390	ApoA-I_Deficiency	NO_DATA	11
KMN713	Apparent_Mineralocorticoid_Excess_Syndrome	NO_DATA	7
KMN392	Arginase_Deficiency	NO_DATA	2
KMN393	Argininosuccinic_Acidemia	NO_DATA	2
KMN313	Aromatase_Deficiency	NO_DATA	1
KMN387	Aspartylglucosaminuria	NO_DATA	2
KMN751	Asthma	J45	195
KMN67	Astrocytoma	NO_DATA	46
KMN593	Ataxia_Telangiectasia	NO_DATA	11
KMN740	Atherosclerosis	I70	216
KMN780	Atopic_Dermatitis	L20	83
KMN579	Autism	NO_DATA	145
KMN697	Autoimmune_Autonomic_Neuropathy	NO_DATA	1
KMN290	Autoimmune_Hypothyroidism	NO_DATA	51
KMN335	Autoimmune_Polyendocrinopathy-Candidiasis-Ectodermal_Dystrophy	NO_DATA	1
KMN698	Autonomic_Neuropathy	NO_DATA	26
KMN550	Autosomal_Dominant_Hypophosphatemic_Rickets	NO_DATA	1
KMN862	Autosomal_Dominant_Polycystic_Kidney_Disease	NO_DATA	4
KMN709	Autosomal_Dominant_Progressive_Deafness	NO_DATA	1
KMN707	Autosomal_Dominant_Progressive_External_Ophthalmoplegia	NO_DATA	3
KMN278	Autosomal_Recessive_Agammaglobulinemia	NO_DATA	6
KMN551	Autosomal_Recessive_Hypercholesterolemia	NO_DATA	1
KMN587	Autosomal_Recessive_Spastic_Ataxia_of_Charlevoix-Saguenay	NO_DATA	1
KMN607	Axonal_Sensorimotor_Neuropathy	NO_DATA	5
KMN87	B-cell_Chronic_Lymphocytic_Leukaemia	NO_DATA	65
KMN86	B-cell_Lymphoma	NO_DATA	35
KMN246	BLNK_Deficiency	NO_DATA	1
KMN878	Bardet-Biedl_Syndrome	NO_DATA	100
KMN323	Bartter_Syndrome	NO_DATA	24
KMN34	Basal_Cell_Carcinoma	NO_DATA	31
KMN661	Becker_Muscular_Dystrophy	NO_DATA	5
KMN662	Becker_s_Disease	NO_DATA	1
KMN800	Behcet_s_Syndrome	NO_DATA	61
KMN626	Benign_Neonatal_Familial_Convulsion	NO_DATA	2
KMN772	Benign_Recurrent_Intrahepatic_Cholestasis	NO_DATA	3
KMN365	Beriberi	E51.1	2
KMN215	Bernard-Soulier_Syndrome	NO_DATA	6
KMN379	Beta-mercaptolactate-cysteine_disulfiduria	NO_DATA	1
KMN576	Bipolar_Disorder	F31	63
KMN61	Bladder_Cancer	NO_DATA	99
KMN880	Bloom_Syndrome	NO_DATA	1
KMN173	Brain_Tumor	NO_DATA	9
KMN583	Brainstem_Encephalitis	NO_DATA	7
KMN47	Breast_Cancer	NO_DATA	97
KMN748	Bronchiectasis	J47	2
KMN735	Brugada_Syndrome	NO_DATA	1
KMN897	Bulimia_Nervosa	F50.2	1
KMN97	Burkitt_s_Lymphoma	NO_DATA	5
KMN614	CADASIL	NO_DATA	1
KMN247	CD40_Deficiency	NO_DATA	1
KMN248	CD8_Deficiency	NO_DATA	2
KMN422	CETP_Deficiency	NO_DATA	13
KMN791	CPPD_Deposition_Disease	NO_DATA	15
KMN408	CPT_II_Deficiency	NO_DATA	1
KMN813	Calcific_Tendinitis	M65.2	1
KMN866	Campomelic_Dysplasia	NO_DATA	1
KMN411	Carbamylphosphate_Synthase_Deficiency	NO_DATA	1
KMN412	Carbinolamine_Dehydratase_Deficiency	NO_DATA	4
KMN315	Carcinoid_Syndrome	E34.0	14
KMN78	Carcinoid_Tumor	NO_DATA	108
KMN52	Carcinoma_of_the_Fallopian_Tube	NO_DATA	2
KMN136	Carney_Complex	NO_DATA	4
KMN409	Carnitine_Deficiency	NO_DATA	1
KMN410	Carnosinase_deficiency	NO_DATA	0
KMN641	Carpal_Tunnel_Syndrome	G56.0	1
KMN872	Cartilage-Hair_Hypoplasia	NO_DATA	0
KMN155	Castleman_s_Disease	NO_DATA	1
KMN701	Cataract	NO_DATA	38
KMN733	Catecholamine_VT	NO_DATA	2
KMN775	Celiac_Sprue	NO_DATA	82
KMN656	Central_Core_Disease	NO_DATA	1
KMN692	Centronuclear_Myopathy	G71.22	5
KMN567	Cerebrotendinous_xanthomatosis	NO_DATA	1
KMN51	Cervix_Cancer	NO_DATA	64
KMN628	Charcot-Marie-Tooth_Disease_Type_1	NO_DATA	10
KMN629	Charcot-Marie-Tooth_Disease_Type_2	NO_DATA	6
KMN437	Chediak-Higashi_Syndrome	E70.330	3
KMN620	Childhood_absence_epilepsy	NO_DATA	1
KMN21	Cholangiocarcinoma	NO_DATA	102
KMN421	Cholesteryl_Ester_Storage_Disease	NO_DATA	8
KMN873	Chondrodysplasia	NO_DATA	10
KMN33	Chondrosarcoma	NO_DATA	5
KMN602	Chorea	NO_DATA	1
KMN54	Choriocarcinoma	NO_DATA	10
KMN245	Chronic_Granulomatous_Disease	NO_DATA	4
KMN176	Chronic_Idiopathic_Myelofibrosis	NO_DATA	15
KMN645	Chronic_Inflammatory_Demyelinating_Polyneuropathy	NO_DATA	91
KMN127	Chronic_Myelogenous_Leukemia	NO_DATA	191
KMN750	Chronic_Obstructive_Pulmonary_Disease	NO_DATA	109
KMN647	Chronic_Sensory_Ataxic_Neuropathy	NO_DATA	2
KMN646	Chronic_Sensory_Motor_Neuropathy	NO_DATA	2
KMN430	Citrullinemia_Type_I	NO_DATA	3
KMN429	Citrullinemia_Type_II	NO_DATA	3
KMN535	Classic_Cystinuria	NO_DATA	9
KMN117	Classical_Hodgkin_s_Lymphoma	NO_DATA	26
KMN885	Cleidocranial_dysplasia	NO_DATA	1
KMN220	Coagulant_factor_VII_hyperactivity	NO_DATA	1
KMN20	Colorectal_Cancer	NO_DATA	195
KMN342	Congenital_Adrenal_Hyperplasia	NO_DATA	25
KMN554	Congenital_Chloridorrhea	NO_DATA	1
KMN336	Congenital_Disorders_Associated_with_Gonadotropin_Deficiency	NO_DATA	22
KMN556	Congenital_Erythropoietic_Porphyria	NO_DATA	5
KMN853	Congenital_Heart_Disease	NO_DATA	36
KMN555	Congenital_Homocystinuria_Syndrome	NO_DATA	2
KMN643	Congenital_Hypomyelination	NO_DATA	2
KMN291	Congenital_Hypothyroidism	NO_DATA	20
KMN341	Congenital_Lipoid_Adrenal_Hyperplasia	NO_DATA	1
KMN239	Congenital_Methemoglobinemia	D74.0	14
KMN691	Congenital_Myasthenic_Syndrome	NO_DATA	1
KMN224	Congenital_amegakaryocytic_thrombocytopenia	NO_DATA	1
KMN221	Congenital_coagulant_factor_XII_deficiency	NO_DATA	1
KMN193	Congenital_hemolytic_anemia	NO_DATA	7
KMN223	Congenital_heparin_cofactor_II_deficiency	NO_DATA	1
KMN222	Congenital_hypoplasminogenemia	NO_DATA	1
KMN240	Congenital_neutropenia	NO_DATA	32
KMN721	Coronary_vasospasm	NO_DATA	14
KMN153	Cowden_s_syndrome	NO_DATA	1
KMN171	Craniopharyngioma	NO_DATA	8
KMN831	Crescentic_Glomerulonephritis	NO_DATA	1
KMN5	Creutzfeldt-Jakob_Disease	A81.0	29
KMN415	Crigler-Najjar_Syndrome	E80.5	5
KMN762	Crohn_s_Disease	NO_DATA	60
KMN95	Crow-Fukase_Syndrome	NO_DATA	10
KMN824	Cryoglobulinemia_Glomerulopathy	NO_DATA	3
KMN859	Cryptorchidism	NO_DATA	105
KMN319	Cushing_s_Disease	NO_DATA	2
KMN318	Cushing_s_Syndrome	E24	15
KMN36	Cutaneous_Squamous_Cell_Carcinoma	NO_DATA	88
KMN124	Cutaneous_T_cell_Lymphoma	NO_DATA	72
KMN426	Cystathioninuria	NO_DATA	3
KMN566	Cystic_Fibrosis	E84	84
KMN427	Cystinosis	E72.04	2
KMN249	DNA_Ligase_IV_Deficiency	NO_DATA	1
KMN594	DOPA-responsive_Dystonia	NO_DATA	4
KMN743	Deep_Venous_Thrombosis	NO_DATA	12
KMN180	Deficiency_of_Transcobalamin_II	NO_DATA	1
KMN630	Dejerine-Sottas_Disease	NO_DATA	5
KMN604	Dementia_with_Lewy_Bodies	G31.83	31
KMN591	Dentatorubropallidoluysian_Atrophy	NO_DATA	1
KMN860	Denys-Drash_Syndrome	NO_DATA	1
KMN575	Depression	NO_DATA	58
KMN37	Dermatofibrosarcoma_Protuberans	NO_DATA	5
KMN810	Dermatomyositis	NO_DATA	82
KMN167	Desmoplastic_Small_Round-cell_Tumor	NO_DATA	2
KMN266	DiGeorge_Syndrome	NO_DATA	10
KMN348	Diabetes_Insipidus	E23.2	4
KMN303	Diabetic_Ketoacidosis	NO_DATA	34
KMN829	Diabetic_Nephropathy	NO_DATA	114
KMN704	Diabetic_Proliferative_Retinopathy	NO_DATA	36
KMN304	Diabetic_neuropathy	NO_DATA	6
KMN564	Dibasic_Aminoaciduria	NO_DATA	10
KMN431	Dicarboxylic_Aminoaciduria	NO_DATA	0
KMN91	Diffuse_Large-Cell_Lymphoma	NO_DATA	3
KMN92	Diffuse_Large_B-cell_Lymphoma	C83.3	85
KMN432	Dihydropyrimidinase_Deficiency	NO_DATA	1
KMN433	Dihydropyrimidine_Dehydrogenase_Deficiency	NO_DATA	3
KMN736	Dilated_Cardiomyopathy	I42.0	40
KMN231	Disseminated_Intravascular_Coagulation	D65	7
KMN667	Distal_Myopathy_with_Rimmed_Vacuoles	NO_DATA	5
KMN895	Down_s_Syndrome	NO_DATA	61
KMN443	Dubin-Johnson_Syndrome	NO_DATA	2
KMN657	Duchenne_Muscular_Dystrophy	NO_DATA	7
KMN133	Ductal_Carcinoma_in_Situ	NO_DATA	8
KMN776	Dumping_Syndrome	NO_DATA	4
KMN207	Dysfibrinogenemia	NO_DATA	3
KMN890	Dyskeratosis_Congenita	NO_DATA	1
KMN145	Dysplastic_gangliocytoma_of_cerebellum	NO_DATA	1
KMN600	Early-onset_torsion_dystonia	NO_DATA	1
KMN328	Ectopic_hormone_producing_tumor	NO_DATA	24
KMN863	Ehlers-Danlos_Syndrome	NO_DATA	9
KMN79	Embryonal_Carcinoma	NO_DATA	8
KMN652	Emery-Dreifuss_Muscular_Dystrophy	NO_DATA	6
KMN749	Emphysema	J43	105
KMN584	Encephalomyelitis	NO_DATA	13
KMN718	Endocrine_hypertension	NO_DATA	11
KMN83	Endodermal_Sinus_Tumor	NO_DATA	1
KMN50	Endometrial_Cancer	NO_DATA	37
KMN845	Endometriosis	N80	215
KMN236	Eosinophilia	D72.1	25
KMN805	Eosinophilic_Granulomatosis_with_Polyangiitis	NO_DATA	20
KMN64	Ependymoma	NO_DATA	2
KMN893	Epidermolysis_Bullosa	Q81	12
KMN617	Epilepsy_Syndrome	NO_DATA	18
KMN613	Episodic_Ataxia	NO_DATA	2
KMN177	Epithelioid_Hemangioendothelioma	NO_DATA	1
KMN204	Epstein_syndrome	NO_DATA	16
KMN112	Erythroleukemia	NO_DATA	3
KMN553	Erythropoietic_Protoporphyria	NO_DATA	2
KMN19	Esophageal_Cancer	NO_DATA	18
KMN571	Essential_Fructosuria	E74.11	1
KMN719	Essential_Hypertension	NO_DATA	135
KMN244	Essential_Thrombocytosis	NO_DATA	7
KMN572	Essential_pentosuria	NO_DATA	1
KMN288	Euthyroid_Hyperthyroxinemia	NO_DATA	8
KMN31	Ewing_s_Sarcoma	NO_DATA	8
KMN457	Fabry_Disease	NO_DATA	2
KMN669	Facioscapulohumeral_Muscular_Dystrophy	G71.02	5
KMN225	Factor_VII_Deficiency	NO_DATA	1
KMN226	Factor_V_Deficiency	NO_DATA	1
KMN227	Factor_XIII_Deficiency	NO_DATA	2
KMN228	Factor_XI_Deficiency	NO_DATA	1
KMN229	Factor_X_Deficiency	NO_DATA	1
KMN139	Familial_Adenomatous_Polyposis	NO_DATA	2
KMN635	Familial_Amyloid_Polyneuropathy	NO_DATA	1
KMN509	Familial_Apolipoprotein_C-II_Deficiency	NO_DATA	11
KMN517	Familial_Combined_Hyperlipidemia	NO_DATA	6
KMN511	Familial_Defective_ApoB-100	NO_DATA	3
KMN285	Familial_Dysalbuminemic_Hyperthyroxinemia	NO_DATA	5
KMN510	Familial_Dysbetalipoproteinemia	NO_DATA	11
KMN619	Familial_Hemiplegic_Migraine	NO_DATA	1
KMN512	Familial_Hyperalphalipoproteinemia	NO_DATA	4
KMN513	Familial_Hypercholesterolemia	E78.01	6
KMN514	Familial_Hypertriglyceridemia	NO_DATA	13
KMN516	Familial_Hypobetalipoproteinemia	NO_DATA	5
KMN515	Familial_Hypocalciuric_Hypercalcemia	NO_DATA	3
KMN329	Familial_Male-Limited_Precocious_Puberty	NO_DATA	4
KMN158	Familial_Paraganglioma_Syndrome	NO_DATA	2
KMN696	Familial_Spastic_Paraplegia	NO_DATA	11
KMN458	Fanconi-Bickel_Syndrome	NO_DATA	1
KMN459	Fanconi_Syndrome	NO_DATA	11
KMN198	Fanconi_s_Anemia	NO_DATA	15
KMN456	Farber_Disease	NO_DATA	2
KMN8	Fatal_Familial_Insomnia	A81.83	1
KMN208	Fechtner_syndrome	NO_DATA	16
KMN814	Fibromyalgia	M79.7	32
KMN828	Focal_and_Segmental_Glomerulosclerosis	NO_DATA	104
KMN366	Folate_Deficiency	NO_DATA	4
KMN132	Follicular_Lymphoma	C82	26
KMN478	Formiminoglutamic_Aciduria	NO_DATA	2
KMN589	Friedreich_s_Ataxia	NO_DATA	2
KMN324	Frohlich_Syndrome	NO_DATA	7
KMN611	Frontotemporal_Lobar_Degeneration	NO_DATA	47
KMN465	Fructose_1_6-bisphosphate_Aldolase_A_Deficiency	NO_DATA	5
KMN464	Fructose_1_6-diphosphatase_Deficiency	NO_DATA	1
KMN463	Fucosidosis	NO_DATA	1
KMN694	Fukuyama_Congenital_Muscular_Dystrophy	NO_DATA	2
KMN185	G6PD_Deficiency	NO_DATA	1
KMN164	GIST	NO_DATA	4
KMN381	GM2-ganglioside_activator_deficiency	NO_DATA	1
KMN306	GRFomas	NO_DATA	2
KMN382	GTP_Cyclohydrolase_I_Deficiency	NO_DATA	3
KMN413	Galactokinase_Deficiency	NO_DATA	1
KMN402	Galactosemia_with_Uridyl_Transferase_Deficiency	NO_DATA	1
KMN774	Gallstone	NO_DATA	34
KMN15	Gastric_Cancer	NO_DATA	222
KMN154	Gastrinoma	NO_DATA	7
KMN760	Gastroesophageal_regurgitation	NO_DATA	7
KMN380	Gaucher_Disease	E75.22	2
KMN624	Generalized_Epilepsy_with_Febrile_Convulsions_Plus	NO_DATA	5
KMN85	Germ_Cell_Tumor	NO_DATA	27
KMN84	Germinoma	NO_DATA	7
KMN6	Gerstmann-Straussler-Scheinker_Disease	NO_DATA	1
KMN801	Giant_Cell_Arteritis	NO_DATA	36
KMN434	Gilbert_s_Syndrome	NO_DATA	4
KMN317	Gitelman_Syndrome	NO_DATA	6
KMN205	Glanzmann_s_Disease	NO_DATA	5
KMN706	Glaucoma	H40	82
KMN74	Glioblastoma	NO_DATA	32
KMN65	Glioma	NO_DATA	181
KMN137	Glucagonoma	NO_DATA	10
KMN320	Glucocorticoid-Remediable_Aldosteronism	E26.02	6
KMN416	Glucose-Galactose_Malabsorption	NO_DATA	1
KMN417	Glucose-Transport_Defect	NO_DATA	1
KMN420	Glutaric_Acidemia_Type_I	NO_DATA	4
KMN419	Glutaric_Acidemia_Type_II	NO_DATA	6
KMN418	Glutathione_synthetase_deficiency	NO_DATA	1
KMN521	Glycogen_Storage_Disease_0	NO_DATA	3
KMN525	Glycogen_Storage_Disease_I	NO_DATA	8
KMN530	Glycogen_Storage_Disease_II	NO_DATA	13
KMN522	Glycogen_Storage_Disease_III	NO_DATA	2
KMN523	Glycogen_Storage_Disease_IV	NO_DATA	1
KMN524	Glycogen_Storage_Disease_IX	NO_DATA	9
KMN532	Glycogen_Storage_Disease_V	NO_DATA	6
KMN526	Glycogen_Storage_Disease_VI	NO_DATA	1
KMN531	Glycogen_Storage_Disease_VII	NO_DATA	5
KMN527	Glycogen_Storage_Disease_XI	NO_DATA	1
KMN161	Goiter	NO_DATA	8
KMN858	Gonadal_Dysgenesis	NO_DATA	19
KMN322	Gonadotropin-Independent_Precocious_Puberty	NO_DATA	2
KMN148	Gonadotropin-Producing_Pituitary_Adenoma	NO_DATA	5
KMN337	Gonadotropin-releasing_Hormone_Resistance	NO_DATA	1
KMN321	Gonadotropin_Deficiency	NO_DATA	6
KMN798	Goodpasture_s_Syndrome	NO_DATA	21
KMN877	Gorlin_Syndrome	NO_DATA	1
KMN179	Granulosa_Cell_Tumor	NO_DATA	14
KMN283	Graves__Disease	NO_DATA	30
KMN264	Griscelli_Syndrome	NO_DATA	1
KMN339	Growth_Hormone_Deficiency	NO_DATA	4
KMN627	Guillain-Barre_Syndrome	G61.0	18
KMN705	Gyrate_Atrophy_of_the_Choroid_and_Retina	NO_DATA	3
KMN453	HPRT_Deficiency	NO_DATA	4
KMN131	Hairy_Cell_Leukemia	C91.4	112
KMN448	Hartnup_Disease	NO_DATA	24
KMN286	Hashimoto_s_disease	NO_DATA	4
KMN471	Hawkinsinuria	NO_DATA	1
KMN82	Head_and_Neck_Cancer	NO_DATA	43
KMN14	Helicobacter_Pylori_Infection	NO_DATA	47
KMN160	Hemangioblastoma	NO_DATA	1
KMN41	Hemangiopericytoma	NO_DATA	4
KMN796	Hemarthrosis	M25.0	5
KMN468	Hemochromatosis	E83.11	39
KMN217	Hemophilia_A	NO_DATA	1
KMN218	Hemophilia_B	NO_DATA	1
KMN214	Henoch-Schonlein_Purpura	NO_DATA	9
KMN767	Hepatic_Coma	NO_DATA	13
KMN768	Hepatic_Encephalopathy	NO_DATA	28
KMN519	Hepatic_Lipase_Deficiency	NO_DATA	4
KMN815	Hepatic_osteodystrophy	NO_DATA	3
KMN766	Hepatitis	NO_DATA	149
KMN17	Hepatoblastoma	C22.2	1
KMN18	Hepatocellular_Carcinoma	NO_DATA	129
KMN520	Hepatoerythropoietic_porphyria	NO_DATA	1
KMN508	Hereditary_Aceruloplasminemia	NO_DATA	1
KMN506	Hereditary_Coproporphyria	NO_DATA	4
KMN189	Hereditary_Elliptocytosis	D58.1	17
KMN777	Hereditary_Fructose_Intolerance	E74.12	1
KMN708	Hereditary_Hearing_Impairment	NO_DATA	13
KMN741	Hereditary_Hemorrhagic_Telangiectasia	I78.0	7
KMN666	Hereditary_Inclusion_Body_Myopathy	NO_DATA	1
KMN633	Hereditary_Neuropathy_with_Pressure_Palsies	NO_DATA	1
KMN16	Hereditary_Nonpolyposis_Colon_Cancer	NO_DATA	9
KMN190	Hereditary_Pyropoikilocytosis	NO_DATA	7
KMN634	Hereditary_Sensory_and_Autonomic_Neuropathy	NO_DATA	3
KMN187	Hereditary_Spherocytosis	D58.0	12
KMN188	Hereditary_Stomatocytosis	NO_DATA	4
KMN507	Hereditary_Vitamin_D-resistant_Rickets	NO_DATA	3
KMN505	Hereditary_Xanthinuria	NO_DATA	9
KMN605	Hereditary_cortical_cerebellar_atrophy	NO_DATA	1
KMN596	Hereditary_progressive_dystonia	NO_DATA	1
KMN199	Hereditary_sideroblastic_anemia	D64.0	1
KMN449	Hermansky-Pudlak_Syndrome	E70.331	3
KMN192	High_oxygen_affinity_hemoglobin_erythremia	NO_DATA	9
KMN450	Histidinemia	E70.41	2
KMN451	Histidinuria	NO_DATA	0
KMN99	Hodgkin_s_Lymphoma	NO_DATA	49
KMN882	Holt-Oram_Syndrome	NO_DATA	2
KMN475	Homocarnosinosis	NO_DATA	0
KMN476	Homocystinuria	E72.11	10
KMN477	Homocystinuria_and_Methylmalonic_Acidemia	NO_DATA	2
KMN10	Human_Immunodeficiency_Virus_Infection	NO_DATA	214
KMN588	Huntington_s_Disease	G10	36
KMN846	Hydatidiform_Mole	O01	8
KMN452	Hydroxykynureninuria	NO_DATA	2
KMN275	Hyper-IgE_Syndrome	NO_DATA	13
KMN536	Hyper_Lp(a)_lipoproteinemia	NO_DATA	4
KMN538	Hypercystinuria	NO_DATA	0
KMN219	Hyperfibrinogenemia	NO_DATA	3
KMN334	Hypergonadotropic_Hypogonadal_Ovarian_Failure	NO_DATA	1
KMN109	Hypergranular_Promyelocytic_Leukemia	NO_DATA	43
KMN542	Hyperhydroxyprolinemia	NO_DATA	2
KMN670	Hyperkalemic_Periodic_Paralysis	NO_DATA	1
KMN547	Hyperleucine-Isoleucinemia	NO_DATA	6
KMN546	Hyperlysinemia	NO_DATA	4
KMN545	Hypermethioninemia	NO_DATA	3
KMN537	Hyperornithinemia-Hyperammonemia-Homocitrullinuria	NO_DATA	5
KMN869	Hyperostosis_Corticalis_Generalisata	NO_DATA	4
KMN540	Hyperoxaluria_Type_I	NO_DATA	2
KMN539	Hyperoxaluria_Type_II	NO_DATA	2
KMN544	Hyperprolinemia_Type_I	NO_DATA	3
KMN543	Hyperprolinemia_Type_II	NO_DATA	3
KMN752	Hypersensitivity_Pneumonitis	NO_DATA	60
KMN714	Hypertension_under_acute_psychological_stress	NO_DATA	7
KMN739	Hypertrophic_Cardiomyopathy	NO_DATA	68
KMN820	Hypertrophic_Osteoarthropathy	NO_DATA	54
KMN548	Hyperuricemia	NO_DATA	8
KMN541	Hypervalinemia	NO_DATA	2
KMN693	Hypokalemic_Periodic_Paralysis	NO_DATA	10
KMN562	Hypophosphatasia	NO_DATA	4
KMN581	Hypothalamic_Encephalitis	NO_DATA	6
KMN144	Hypothalamic_Gangliocytoma	NO_DATA	4
KMN886	Hypothalamic_Hamartoma	NO_DATA	4
KMN563	Hypouricemia	NO_DATA	3
KMN250	ICF_Syndrome	NO_DATA	1
KMN755	Idiopathic_Pulmonary_Fibrosis	J84.112	29
KMN830	Idiopathic_Renal-Limited_Crescentic_Glomerulonephritis	NO_DATA	5
KMN230	Idiopathic_Thrombocytopenic_Purpura	NO_DATA	25
KMN601	Idiopathic_Torsion_Dystonia	NO_DATA	1
KMN347	Idiopathic_hypoparathyroidism	E20.0	1
KMN201	Idiopathic_sideroblastic_anemia	NO_DATA	23
KMN251	IgA_Deficiency	NO_DATA	6
KMN822	IgA_Nephropathy	NO_DATA	47
KMN252	IgG_Subclass_Deficiency	NO_DATA	4
KMN399	Iminoglycinuria	NO_DATA	0
KMN195	Immune_Hemolysis	NO_DATA	5
KMN129	Immunoblastic_lymphoma	NO_DATA	27
KMN281	Immunoglobulin-Associated_beta_Deficiency	NO_DATA	1
KMN280	Immunoglobulin_Heavy_Chain_Deficiency	NO_DATA	0
KMN130	Immunoproliferative_Small_Intestinal_Disease	C88.3	4
KMN811	Inclusion_Body_Myositis	NO_DATA	109
KMN1	Inflammatory_Bowel_Disease	NO_DATA	104
KMN745	Influenza_Infection	NO_DATA	20
KMN135	Insulinoma	NO_DATA	14
KMN259	Interferon_gamma_Receptor_Deficiency	NO_DATA	2
KMN260	Interleukin_12_Deficiency	NO_DATA	2
KMN261	Interleukin_12_Receptor_Deficiency	NO_DATA	2
KMN753	Interstitial_Lung_Disease	NO_DATA	5
KMN183	Iron_Deficiency_Anemia	D50	14
KMN723	Ischemic_Heart_Disease	NO_DATA	38
KMN724	Ischemic_arrhythmia	NO_DATA	39
KMN352	Isolated_Follicle-stimulating_Hormone_Deficiency	NO_DATA	1
KMN398	Isovaleric_Acidemia	E71.110	2
KMN325	Jansen_s_Disease	NO_DATA	4
KMN734	Jorvell_and_Lange-Nielsen_Syndrome	NO_DATA	2
KMN715	Juvenile_hypertension	NO_DATA	6
KMN175	Juxtaglomerular_Cell_Tumor	NO_DATA	3
KMN316	Kallmann_Syndrome	NO_DATA	4
KMN38	Kaposi_s_Sarcoma	C46	50
KMN653	Kearns-Sayre_Syndrome	H49.81	7
KMN894	Klinefelter_Syndrome	NO_DATA	14
KMN414	Krabbe_s_Disease	NO_DATA	3
KMN4	Kuru	A81.81	1
KMN502	LCAT_Deficiency	NO_DATA	5
