	Name	ICD10	Count	ICD_class	Disease_english
KMN350	Adrenogenital_Syndrome	NO_DATA	5	E20-E35	Adrenogenital Syndrome
KMN338	Adult_GH_Deficiency	NO_DATA	8	E20-E35	Adult GH Deficiency
KMN789	Adult_Still_s_disease	NO_DATA	4	M05-M14	Adult Still's disease
KMN118	Adult_T_Cell_Lymphoma/Leukemia	NO_DATA	160	C81-C96	Adult T Cell Lymphoma/Leukemia
KMN779	Afferent_Loop_Syndrome	NO_DATA	1	K90-K93	Afferent Loop Syndrome
KMN232	Afibrinogenemia	NO_DATA	3	D65-D69	Afibrinogenemia
KMN702	Age-Related_Macular_Degeneration	NO_DATA	31	H30-H36	Age-Related Macular Degeneration
KMN854	Alagille_Syndrome	NO_DATA	1	Q38-Q45	Alagille Syndrome
KMN568	Albinism_(oculocutaneous)	NO_DATA	3	E70-E90	Albinism (oculocutaneous)
KMN765	Alcoholic_Cirrhosis	NO_DATA	11	K70-K77	Alcoholic Cirrhosis
KMN391	Alkaptonuria	NO_DATA	3	E70-E90	Alkaptonuria
KMN11	Allergic_Bronchopulmonary_Aspergillosis	B44.81	6	B35-B49	Allergic Bronchopulmonary Aspergillosis
KMN747	Allergic_Rhinitis	NO_DATA	23	J30-J39	Allergic Rhinitis
KMN699	Allergic_conjunctivitis	NO_DATA	2	H10-H13	Allergic conjunctivitis
KMN781	Allergic_contact_dermatitis	L23	12	L20-L30	Allergic contact dermatitis
KMN202	Alpha2_Plasmin_Inhibitor_Deficiency	NO_DATA	4	D65-D69	Alpha2 Plasmin Inhibitor Deficiency
KMN876	Alport_s_Syndrome	NO_DATA	7	Q80-Q89	Alport's Syndrome
KMN45	Alveolar_Soft_Part_Sarcoma	NO_DATA	2	C45-C49	Alveolar Soft Part Sarcoma
KMN603	Alzheimer_s_Disease	G30	133	G30-G32	Alzheimer's Disease
KMN590	Amyotrophic_Lateral_Sclerosis	G12.21	176	G10-G13	Amyotrophic Lateral Sclerosis
KMN900	Anaphylaxis	NO_DATA	8	T66-T78	Anaphylaxis
KMN128	Anaplastic_Large_T-cell_Lymphoma	NO_DATA	6	C81-C96	Anaplastic Large T-cell Lymphoma
KMN200	Anaplastic_anemia	NO_DATA	18	D60-D64	Anaplastic anemia
KMN68	Anaplastic_astrocytoma	NO_DATA	4	C69-C72	Anaplastic astrocytoma
KMN397	Andersen_s_Syndrome	NO_DATA	1	E70-E90	Andersen's Syndrome
KMN314	Androgen_Insensitivity_Syndrome	E34.5	11	E20-E35	Androgen Insensitivity Syndrome
KMN742	Aneurysm	NO_DATA	33	I70-I79	Aneurysm
KMN725	Angina_pectoris	I20	31	I20-I25	Angina pectoris
KMN812	Ankylosing_Spondylitis	M45	19	M45-M49	Ankylosing Spondylitis
KMN577	Anorexia_Nervosa	F50.0	13	F50-F59	Anorexia Nervosa
KMN806	Anti-Glomerular_Basement_Membrane_Disease	NO_DATA	5	M30-M36	Anti-Glomerular Basement Membrane Disease
KMN606	Anti-Hu_Paraneoplastic_Neuropathy	NO_DATA	3	G30-G32	Anti-Hu Paraneoplastic Neuropathy
KMN274	Antigen_Peptide_Transporter_Deficiency	NO_DATA	2	D80-D89	Antigen Peptide Transporter Deficiency
KMN203	Antithrombin_Deficiency	NO_DATA	1	D65-D69	Antithrombin Deficiency
KMN390	ApoA-I_Deficiency	NO_DATA	11	E70-E90	ApoA-I Deficiency
KMN713	Apparent_Mineralocorticoid_Excess_Syndrome	NO_DATA	7	I10-I15	Apparent Mineralocorticoid Excess Syndrome
KMN392	Arginase_Deficiency	NO_DATA	2	E70-E90	Arginase Deficiency
KMN393	Argininosuccinic_Acidemia	NO_DATA	2	E70-E90	Argininosuccinic Acidemia
KMN313	Aromatase_Deficiency	NO_DATA	1	E20-E35	Aromatase Deficiency
KMN387	Aspartylglucosaminuria	NO_DATA	2	E70-E90	Aspartylglucosaminuria
KMN751	Asthma	J45	195	J40-J47	Asthma
KMN67	Astrocytoma	NO_DATA	46	C69-C72	Astrocytoma
KMN593	Ataxia_Telangiectasia	NO_DATA	11	G10-G13	Ataxia Telangiectasia
KMN740	Atherosclerosis	I70	216	I70-I79	Atherosclerosis
KMN780	Atopic_Dermatitis	L20	83	L20-L30	Atopic Dermatitis
KMN579	Autism	NO_DATA	145	F80-F89	Autism
KMN697	Autoimmune_Autonomic_Neuropathy	NO_DATA	1	G90-G99	Autoimmune Autonomic Neuropathy
KMN290	Autoimmune_Hypothyroidism	NO_DATA	51	E00-E07	Autoimmune Hypothyroidism
KMN335	Autoimmune_Polyendocrinopathy-Candidiasis-Ectodermal_Dystrophy	NO_DATA	1	E20-E35	Autoimmune Polyendocrinopathy-Candidiasis-Ectodermal Dystrophy
KMN698	Autonomic_Neuropathy	NO_DATA	26	G90-G99	Autonomic Neuropathy
KMN550	Autosomal_Dominant_Hypophosphatemic_Rickets	NO_DATA	1	E70-E90	Autosomal Dominant Hypophosphatemic Rickets
KMN862	Autosomal_Dominant_Polycystic_Kidney_Disease	NO_DATA	4	Q60-Q64	Autosomal Dominant Polycystic Kidney Disease
KMN709	Autosomal_Dominant_Progressive_Deafness	NO_DATA	1	H90-H95	Autosomal Dominant Progressive Deafness
KMN707	Autosomal_Dominant_Progressive_External_Ophthalmoplegia	NO_DATA	3	H49-H52	Autosomal Dominant Progressive External Ophthalmoplegia
KMN278	Autosomal_Recessive_Agammaglobulinemia	NO_DATA	6	D80-D89	Autosomal Recessive Agammaglobulinemia
KMN551	Autosomal_Recessive_Hypercholesterolemia	NO_DATA	1	E70-E90	Autosomal Recessive Hypercholesterolemia
KMN587	Autosomal_Recessive_Spastic_Ataxia_of_Charlevoix-Saguenay	NO_DATA	1	G10-G13	Autosomal Recessive Spastic Ataxia of Charlevoix-Saguenay
KMN607	Axonal_Sensorimotor_Neuropathy	NO_DATA	5	G30-G32	Axonal Sensorimotor Neuropathy
KMN87	B-cell_Chronic_Lymphocytic_Leukaemia	NO_DATA	65	C81-C96	B-cell Chronic Lymphocytic Leukaemia
KMN86	B-cell_Lymphoma	NO_DATA	35	C81-C96	B-cell Lymphoma
KMN246	BLNK_Deficiency	NO_DATA	1	D80-D89	BLNK Deficiency
KMN878	Bardet-Biedl_Syndrome	NO_DATA	100	Q80-Q89	Bardet-Biedl Syndrome
KMN323	Bartter_Syndrome	NO_DATA	24	E20-E35	Bartter Syndrome
KMN34	Basal_Cell_Carcinoma	NO_DATA	31	C43-C44	Basal Cell Carcinoma
KMN661	Becker_Muscular_Dystrophy	NO_DATA	5	G70-G73	Becker Muscular Dystrophy
KMN662	Becker_s_Disease	NO_DATA	1	G70-G73	Becker's Disease
KMN800	Behcet_s_Syndrome	NO_DATA	61	M30-M36	Behcet's Syndrome
KMN626	Benign_Neonatal_Familial_Convulsion	NO_DATA	2	G40-G47	Benign Neonatal Familial Convulsion
KMN772	Benign_Recurrent_Intrahepatic_Cholestasis	NO_DATA	3	K70-K77	Benign Recurrent Intrahepatic Cholestasis
KMN365	Beriberi	E51.1	2	E50-E64	Beriberi
KMN215	Bernard-Soulier_Syndrome	NO_DATA	6	D65-D69	Bernard-Soulier Syndrome
KMN379	Beta-mercaptolactate-cysteine_disulfiduria	NO_DATA	1	E70-E90	Beta-mercaptolactate-cysteine disulfiduria
KMN576	Bipolar_Disorder	F31	63	F30-F39	Bipolar Disorder
KMN61	Bladder_Cancer	NO_DATA	99	C64-C68	Bladder Cancer
KMN880	Bloom_Syndrome	NO_DATA	1	Q80-Q89	Bloom Syndrome
KMN173	Brain_Tumor	NO_DATA	9	D37-D48	Brain Tumor
KMN583	Brainstem_Encephalitis	NO_DATA	7	G00-G09	Brainstem Encephalitis
KMN47	Breast_Cancer	NO_DATA	97	C50-C50	Breast Cancer
KMN748	Bronchiectasis	J47	2	J40-J47	Bronchiectasis
KMN735	Brugada_Syndrome	NO_DATA	1	I30-I52	Brugada Syndrome
KMN897	Bulimia_Nervosa	F50.2	1	R50-R69	Bulimia Nervosa
KMN97	Burkitt_s_Lymphoma	NO_DATA	5	C81-C96	Burkitt's Lymphoma
KMN614	CADASIL	NO_DATA	1	G35-G37	CADASIL
KMN247	CD40_Deficiency	NO_DATA	1	D80-D89	CD40 Deficiency
KMN248	CD8_Deficiency	NO_DATA	2	D80-D89	CD8 Deficiency
KMN422	CETP_Deficiency	NO_DATA	13	E70-E90	CETP Deficiency
KMN791	CPPD_Deposition_Disease	NO_DATA	15	M05-M14	CPPD Deposition Disease
KMN408	CPT_II_Deficiency	NO_DATA	1	E70-E90	CPT II Deficiency
KMN813	Calcific_Tendinitis	M65.2	1	M65-M68	Calcific Tendinitis
KMN866	Campomelic_Dysplasia	NO_DATA	1	Q65-Q79	Campomelic Dysplasia
KMN411	Carbamylphosphate_Synthase_Deficiency	NO_DATA	1	E70-E90	Carbamylphosphate Synthase Deficiency
KMN412	Carbinolamine_Dehydratase_Deficiency	NO_DATA	4	E70-E90	Carbinolamine Dehydratase Deficiency
KMN315	Carcinoid_Syndrome	E34.0	14	E20-E35	Carcinoid Syndrome
KMN78	Carcinoid_Tumor	NO_DATA	108	C76-C80	Carcinoid Tumor
KMN52	Carcinoma_of_the_Fallopian_Tube	NO_DATA	2	C51-C58	Carcinoma of the Fallopian Tube
KMN136	Carney_Complex	NO_DATA	4	D10-D36	Carney Complex
KMN409	Carnitine_Deficiency	NO_DATA	1	E70-E90	Carnitine Deficiency
KMN410	Carnosinase_deficiency	NO_DATA	0	E70-E90	Carnosinase deficiency
KMN641	Carpal_Tunnel_Syndrome	G56.0	1	G50-G59	Carpal Tunnel Syndrome
KMN872	Cartilage-Hair_Hypoplasia	NO_DATA	0	Q65-Q79	Cartilage-Hair Hypoplasia
KMN155	Castleman_s_Disease	NO_DATA	1	D37-D48	Castleman's Disease
KMN701	Cataract	NO_DATA	38	H25-H28	Cataract
KMN733	Catecholamine_VT	NO_DATA	2	I30-I52	Catecholamine VT
KMN775	Celiac_Sprue	NO_DATA	82	K90-K93	Celiac Sprue
KMN656	Central_Core_Disease	NO_DATA	1	G70-G73	Central Core Disease
KMN692	Centronuclear_Myopathy	G71.22	5	G70-G73	Centronuclear Myopathy
KMN567	Cerebrotendinous_xanthomatosis	NO_DATA	1	E70-E90	Cerebrotendinous xanthomatosis
KMN51	Cervix_Cancer	NO_DATA	64	C51-C58	Cervix Cancer
KMN628	Charcot-Marie-Tooth_Disease_Type_1	NO_DATA	10	G50-G59	Charcot-Marie-Tooth Disease Type 1
KMN629	Charcot-Marie-Tooth_Disease_Type_2	NO_DATA	6	G50-G59	Charcot-Marie-Tooth Disease Type 2
KMN437	Chediak-Higashi_Syndrome	E70.330	3	E70-E90	Chediak-Higashi Syndrome
KMN620	Childhood_absence_epilepsy	NO_DATA	1	G40-G47	Childhood absence epilepsy
KMN21	Cholangiocarcinoma	NO_DATA	102	C15-C26	Cholangiocarcinoma
KMN421	Cholesteryl_Ester_Storage_Disease	NO_DATA	8	E70-E90	Cholesteryl Ester Storage Disease
KMN873	Chondrodysplasia	NO_DATA	10	Q65-Q79	Chondrodysplasia
KMN33	Chondrosarcoma	NO_DATA	5	C40-C41	Chondrosarcoma
KMN602	Chorea	NO_DATA	1	G20-G26	Chorea
KMN54	Choriocarcinoma	NO_DATA	10	C51-C58	Choriocarcinoma
KMN245	Chronic_Granulomatous_Disease	NO_DATA	4	D70-D77	Chronic Granulomatous Disease
KMN176	Chronic_Idiopathic_Myelofibrosis	NO_DATA	15	D37-D48	Chronic Idiopathic Myelofibrosis
KMN645	Chronic_Inflammatory_Demyelinating_Polyneuropathy	NO_DATA	91	G50-G59	Chronic Inflammatory Demyelinating Polyneuropathy
KMN127	Chronic_Myelogenous_Leukemia	NO_DATA	191	C81-C96	Chronic Myelogenous Leukemia
KMN750	Chronic_Obstructive_Pulmonary_Disease	NO_DATA	109	J40-J47	Chronic Obstructive Pulmonary Disease
KMN647	Chronic_Sensory_Ataxic_Neuropathy	NO_DATA	2	G50-G59	Chronic Sensory Ataxic Neuropathy
KMN646	Chronic_Sensory_Motor_Neuropathy	NO_DATA	2	G50-G59	Chronic Sensory Motor Neuropathy
KMN430	Citrullinemia_Type_I	NO_DATA	3	E70-E90	Citrullinemia Type I
KMN429	Citrullinemia_Type_II	NO_DATA	3	E70-E90	Citrullinemia Type II
KMN535	Classic_Cystinuria	NO_DATA	9	E70-E90	Classic Cystinuria
KMN117	Classical_Hodgkin_s_Lymphoma	NO_DATA	26	C81-C96	Classical Hodgkin's Lymphoma
KMN885	Cleidocranial_dysplasia	NO_DATA	1	Q80-Q89	Cleidocranial dysplasia
KMN220	Coagulant_factor_VII_hyperactivity	NO_DATA	1	D65-D69	Coagulant factor VII hyperactivity
KMN20	Colorectal_Cancer	NO_DATA	195	C15-C26	Colorectal Cancer
KMN342	Congenital_Adrenal_Hyperplasia	NO_DATA	25	E20-E35	Congenital Adrenal Hyperplasia
KMN554	Congenital_Chloridorrhea	NO_DATA	1	E70-E90	Congenital Chloridorrhea
KMN336	Congenital_Disorders_Associated_with_Gonadotropin_Deficiency	NO_DATA	22	E20-E35	Congenital Disorders Associated with Gonadotropin Deficiency
KMN556	Congenital_Erythropoietic_Porphyria	NO_DATA	5	E70-E90	Congenital Erythropoietic Porphyria
KMN853	Congenital_Heart_Disease	NO_DATA	36	Q20-Q28	Congenital Heart Disease
KMN555	Congenital_Homocystinuria_Syndrome	NO_DATA	2	E70-E90	Congenital Homocystinuria Syndrome
KMN643	Congenital_Hypomyelination	NO_DATA	2	G50-G59	Congenital Hypomyelination
KMN291	Congenital_Hypothyroidism	NO_DATA	20	E00-E07	Congenital Hypothyroidism
KMN341	Congenital_Lipoid_Adrenal_Hyperplasia	NO_DATA	1	E20-E35	Congenital Lipoid Adrenal Hyperplasia
KMN239	Congenital_Methemoglobinemia	D74.0	14	D70-D77	Congenital Methemoglobinemia
KMN691	Congenital_Myasthenic_Syndrome	NO_DATA	1	G70-G73	Congenital Myasthenic Syndrome
KMN224	Congenital_amegakaryocytic_thrombocytopenia	NO_DATA	1	D65-D69	Congenital amegakaryocytic thrombocytopenia
KMN221	Congenital_coagulant_factor_XII_deficiency	NO_DATA	1	D65-D69	Congenital coagulant factor XII deficiency
KMN193	Congenital_hemolytic_anemia	NO_DATA	7	D55-D59	Congenital hemolytic anemia
KMN223	Congenital_heparin_cofactor_II_deficiency	NO_DATA	1	D65-D69	Congenital heparin cofactor II deficiency
KMN222	Congenital_hypoplasminogenemia	NO_DATA	1	D65-D69	Congenital hypoplasminogenemia
KMN240	Congenital_neutropenia	NO_DATA	32	D70-D77	Congenital neutropenia
KMN721	Coronary_vasospasm	NO_DATA	14	I20-I25	Coronary vasospasm
KMN153	Cowden_s_syndrome	NO_DATA	1	D37-D48	Cowden's syndrome
KMN171	Craniopharyngioma	NO_DATA	8	D37-D48	Craniopharyngioma
KMN831	Crescentic_Glomerulonephritis	NO_DATA	1	N00-N08	Crescentic Glomerulonephritis
KMN5	Creutzfeldt-Jakob_Disease	A81.0	29	A80-A89	Creutzfeldt-Jakob Disease
KMN415	Crigler-Najjar_Syndrome	E80.5	5	E70-E90	Crigler-Najjar Syndrome
KMN762	Crohn_s_Disease	NO_DATA	60	K50-K52	Crohn's Disease
KMN95	Crow-Fukase_Syndrome	NO_DATA	10	C81-C96	Crow-Fukase Syndrome
KMN824	Cryoglobulinemia_Glomerulopathy	NO_DATA	3	N00-N08	Cryoglobulinemia Glomerulopathy
KMN859	Cryptorchidism	NO_DATA	105	Q50-Q56	Cryptorchidism
KMN319	Cushing_s_Disease	NO_DATA	2	E20-E35	Cushing's Disease
KMN318	Cushing_s_Syndrome	E24	15	E20-E35	Cushing's Syndrome
KMN36	Cutaneous_Squamous_Cell_Carcinoma	NO_DATA	88	C43-C44	Cutaneous Squamous Cell Carcinoma
KMN124	Cutaneous_T_cell_Lymphoma	NO_DATA	72	C81-C96	Cutaneous T cell Lymphoma
KMN426	Cystathioninuria	NO_DATA	3	E70-E90	Cystathioninuria
KMN566	Cystic_Fibrosis	E84	84	E70-E90	Cystic Fibrosis
KMN427	Cystinosis	E72.04	2	E70-E90	Cystinosis
KMN249	DNA_Ligase_IV_Deficiency	NO_DATA	1	D80-D89	DNA Ligase IV Deficiency
KMN594	DOPA-responsive_Dystonia	NO_DATA	4	G20-G26	DOPA-responsive Dystonia
KMN743	Deep_Venous_Thrombosis	NO_DATA	12	I80-I89	Deep Venous Thrombosis
KMN180	Deficiency_of_Transcobalamin_II	NO_DATA	1	D50-D53	Deficiency of Transcobalamin II
KMN630	Dejerine-Sottas_Disease	NO_DATA	5	G50-G59	Dejerine-Sottas Disease
KMN604	Dementia_with_Lewy_Bodies	G31.83	31	G30-G32	Dementia with Lewy Bodies
KMN591	Dentatorubropallidoluysian_Atrophy	NO_DATA	1	G10-G13	Dentatorubropallidoluysian Atrophy
KMN860	Denys-Drash_Syndrome	NO_DATA	1	Q60-Q64	Denys-Drash Syndrome
KMN575	Depression	NO_DATA	58	F30-F39	Depression
KMN37	Dermatofibrosarcoma_Protuberans	NO_DATA	5	C43-C44	Dermatofibrosarcoma Protuberans
KMN810	Dermatomyositis	NO_DATA	82	M30-M36	Dermatomyositis
KMN167	Desmoplastic_Small_Round-cell_Tumor	NO_DATA	2	D37-D48	Desmoplastic Small Round-cell Tumor
KMN266	DiGeorge_Syndrome	NO_DATA	10	D80-D89	DiGeorge Syndrome
KMN348	Diabetes_Insipidus	E23.2	4	E20-E35	Diabetes Insipidus
KMN303	Diabetic_Ketoacidosis	NO_DATA	34	E10-E14	Diabetic Ketoacidosis
KMN829	Diabetic_Nephropathy	NO_DATA	114	N00-N08	Diabetic Nephropathy
KMN704	Diabetic_Proliferative_Retinopathy	NO_DATA	36	H30-H36	Diabetic Proliferative Retinopathy
KMN304	Diabetic_neuropathy	NO_DATA	6	E10-E14	Diabetic neuropathy
KMN564	Dibasic_Aminoaciduria	NO_DATA	10	E70-E90	Dibasic Aminoaciduria
KMN431	Dicarboxylic_Aminoaciduria	NO_DATA	0	E70-E90	Dicarboxylic Aminoaciduria
KMN91	Diffuse_Large-Cell_Lymphoma	NO_DATA	3	C81-C96	Diffuse Large-Cell Lymphoma
KMN92	Diffuse_Large_B-cell_Lymphoma	C83.3	85	C81-C96	Diffuse Large B-cell Lymphoma
KMN432	Dihydropyrimidinase_Deficiency	NO_DATA	1	E70-E90	Dihydropyrimidinase Deficiency
KMN433	Dihydropyrimidine_Dehydrogenase_Deficiency	NO_DATA	3	E70-E90	Dihydropyrimidine Dehydrogenase Deficiency
KMN736	Dilated_Cardiomyopathy	I42.0	40	I30-I52	Dilated Cardiomyopathy
KMN231	Disseminated_Intravascular_Coagulation	D65	7	D65-D69	Disseminated Intravascular Coagulation
KMN667	Distal_Myopathy_with_Rimmed_Vacuoles	NO_DATA	5	G70-G73	Distal Myopathy with Rimmed Vacuoles
KMN895	Down_s_Syndrome	NO_DATA	61	Q90-Q99	Down's Syndrome
KMN443	Dubin-Johnson_Syndrome	NO_DATA	2	E70-E90	Dubin-Johnson Syndrome
KMN657	Duchenne_Muscular_Dystrophy	NO_DATA	7	G70-G73	Duchenne Muscular Dystrophy
KMN133	Ductal_Carcinoma_in_Situ	NO_DATA	8	D00-D09	Ductal Carcinoma in Situ
KMN776	Dumping_Syndrome	NO_DATA	4	K90-K93	Dumping Syndrome
KMN207	Dysfibrinogenemia	NO_DATA	3	D65-D69	Dysfibrinogenemia
KMN890	Dyskeratosis_Congenita	NO_DATA	1	Q80-Q89	Dyskeratosis Congenita
KMN145	Dysplastic_gangliocytoma_of_cerebellum	NO_DATA	1	D10-D36	Dysplastic gangliocytoma of cerebellum
KMN600	Early-onset_torsion_dystonia	NO_DATA	1	G20-G26	Early-onset torsion dystonia
KMN328	Ectopic_hormone_producing_tumor	NO_DATA	24	E20-E35	Ectopic hormone producing tumor
KMN863	Ehlers-Danlos_Syndrome	NO_DATA	9	Q65-Q79	Ehlers-Danlos Syndrome
KMN79	Embryonal_Carcinoma	NO_DATA	8	C76-C80	Embryonal Carcinoma
KMN652	Emery-Dreifuss_Muscular_Dystrophy	NO_DATA	6	G70-G73	Emery-Dreifuss Muscular Dystrophy
KMN749	Emphysema	J43	105	J40-J47	Emphysema
KMN584	Encephalomyelitis	NO_DATA	13	G00-G09	Encephalomyelitis
KMN718	Endocrine_hypertension	NO_DATA	11	I10-I15	Endocrine hypertension
KMN83	Endodermal_Sinus_Tumor	NO_DATA	1	C76-C80	Endodermal Sinus Tumor
KMN50	Endometrial_Cancer	NO_DATA	37	C51-C58	Endometrial Cancer
KMN845	Endometriosis	N80	215	N80-N98	Endometriosis
KMN236	Eosinophilia	D72.1	25	D70-D77	Eosinophilia
KMN805	Eosinophilic_Granulomatosis_with_Polyangiitis	NO_DATA	20	M30-M36	Eosinophilic Granulomatosis with Polyangiitis
KMN64	Ependymoma	NO_DATA	2	C69-C72	Ependymoma
KMN893	Epidermolysis_Bullosa	Q81	12	Q80-Q89	Epidermolysis Bullosa
KMN617	Epilepsy_Syndrome	NO_DATA	18	G40-G47	Epilepsy Syndrome
KMN613	Episodic_Ataxia	NO_DATA	2	G30-G32	Episodic Ataxia
KMN177	Epithelioid_Hemangioendothelioma	NO_DATA	1	D37-D48	Epithelioid Hemangioendothelioma
KMN204	Epstein_syndrome	NO_DATA	16	D65-D69	Epstein syndrome
KMN112	Erythroleukemia	NO_DATA	3	C81-C96	Erythroleukemia
KMN553	Erythropoietic_Protoporphyria	NO_DATA	2	E70-E90	Erythropoietic Protoporphyria
KMN19	Esophageal_Cancer	NO_DATA	18	C15-C26	Esophageal Cancer
KMN571	Essential_Fructosuria	E74.11	1	E70-E90	Essential Fructosuria
KMN719	Essential_Hypertension	NO_DATA	135	I10-I15	Essential Hypertension
KMN244	Essential_Thrombocytosis	NO_DATA	7	D70-D77	Essential Thrombocytosis
KMN572	Essential_pentosuria	NO_DATA	1	E70-E90	Essential pentosuria
KMN288	Euthyroid_Hyperthyroxinemia	NO_DATA	8	E00-E07	Euthyroid Hyperthyroxinemia
KMN31	Ewing_s_Sarcoma	NO_DATA	8	C40-C41	Ewing's Sarcoma
KMN457	Fabry_Disease	NO_DATA	2	E70-E90	Fabry Disease
KMN669	Facioscapulohumeral_Muscular_Dystrophy	G71.02	5	G70-G73	Facioscapulohumeral Muscular Dystrophy
KMN225	Factor_VII_Deficiency	NO_DATA	1	D65-D69	Factor VII Deficiency
KMN226	Factor_V_Deficiency	NO_DATA	1	D65-D69	Factor V Deficiency
KMN227	Factor_XIII_Deficiency	NO_DATA	2	D65-D69	Factor XIII Deficiency
KMN228	Factor_XI_Deficiency	NO_DATA	1	D65-D69	Factor XI Deficiency
KMN229	Factor_X_Deficiency	NO_DATA	1	D65-D69	Factor X Deficiency
KMN139	Familial_Adenomatous_Polyposis	NO_DATA	2	D10-D36	Familial Adenomatous Polyposis
KMN635	Familial_Amyloid_Polyneuropathy	NO_DATA	1	G50-G59	Familial Amyloid Polyneuropathy
KMN509	Familial_Apolipoprotein_C-II_Deficiency	NO_DATA	11	E70-E90	Familial Apolipoprotein C-II Deficiency
KMN517	Familial_Combined_Hyperlipidemia	NO_DATA	6	E70-E90	Familial Combined Hyperlipidemia
KMN511	Familial_Defective_ApoB-100	NO_DATA	3	E70-E90	Familial Defective ApoB-100
KMN285	Familial_Dysalbuminemic_Hyperthyroxinemia	NO_DATA	5	E00-E07	Familial Dysalbuminemic Hyperthyroxinemia
KMN510	Familial_Dysbetalipoproteinemia	NO_DATA	11	E70-E90	Familial Dysbetalipoproteinemia
KMN619	Familial_Hemiplegic_Migraine	NO_DATA	1	G40-G47	Familial Hemiplegic Migraine
KMN512	Familial_Hyperalphalipoproteinemia	NO_DATA	4	E70-E90	Familial Hyperalphalipoproteinemia
KMN513	Familial_Hypercholesterolemia	E78.01	6	E70-E90	Familial Hypercholesterolemia
KMN514	Familial_Hypertriglyceridemia	NO_DATA	13	E70-E90	Familial Hypertriglyceridemia
